## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
| 65536B |      7.24 Kops/s |    949.3 MB/s |     71.28 us |    1.8 |     55.5 |    1.8 |     59.1 |
| 131072B |      5.38 Kops/s |   1410.0 MB/s |    105.55 us |    2.0 |     55.6 |    2.0 |     59.5 |
| 262144B |      4.48 Kops/s |   2351.0 MB/s |    109.58 us |    2.3 |     56.1 |    2.3 |     59.8 |

## PATTERN: MULTI_STREAM_CALLBACK (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      9.96 Kops/s |      1.3 MB/s |     52.35 us |    1.3 |     55.8 |    1.3 |     58.9 |
| 256B |     10.08 Kops/s |      5.2 MB/s |     75.12 us |    1.3 |     56.3 |    1.3 |     59.5 |
| 1024B |      8.77 Kops/s |     18.0 MB/s |     59.99 us |    1.4 |     55.5 |    1.3 |     58.6 |
| 65536B |      6.44 Kops/s |    844.1 MB/s |     65.88 us |    1.8 |     55.3 |    1.8 |     59.2 |
| 131072B |      6.19 Kops/s |   1622.8 MB/s |    100.17 us |    2.1 |     55.8 |    2.1 |     58.9 |
| 262144B |      4.45 Kops/s |   2335.3 MB/s |    108.53 us |    2.3 |     56.1 |    2.3 |     59.9 |

## PATTERN: MULTI_STREAM_LEN32BE (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      9.99 Kops/s |      1.3 MB/s |     45.73 us |    1.3 |     56.1 |    1.3 |     58.5 |
| 256B |      9.08 Kops/s |      4.6 MB/s |     68.35 us |    1.3 |     57.0 |    1.3 |     59.1 |
| 1024B |      9.78 Kops/s |     20.0 MB/s |     48.80 us |    1.3 |     56.1 |    1.3 |     59.1 |
| 65536B |      7.02 Kops/s |    920.6 MB/s |     75.85 us |    1.8 |     55.9 |    1.8 |     59.1 |
| 131072B |      6.16 Kops/s |   1615.9 MB/s |     79.90 us |    2.1 |     55.6 |    2.1 |     59.5 |
| 262144B |      4.70 Kops/s |   2461.9 MB/s |     97.75 us |    2.4 |     56.7 |    2.3 |     59.9 |
