stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
zlink,64,3,1,10000,5,1,0,353997.40,43.21,26847.89,29389.93,30642.65,PASS,21287,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s64_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s64_r3_a1_server.log
zlink,1024,1,1,10000,5,1,0,321037.60,627.03,28986.64,32151.28,35590.18,PASS,21288,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s1024_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s1024_r1_a1_server.log
zlink,1024,2,1,10000,5,1,0,329736.20,644.02,28729.92,32077.78,34116.03,PASS,21289,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s1024_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s1024_r2_a1_server.log
zlink,1024,3,1,10000,5,1,0,321122.40,627.19,29014.29,32509.74,34437.63,PASS,21291,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s1024_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s1024_r3_a1_server.log
zlink,65536,1,1,10000,5,1,0,73511.40,9188.92,65125.52,81539.19,5039290.34,PASS,21293,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s65536_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s65536_r1_a1_server.log
zlink,65536,2,1,10000,5,1,0,74089.60,9261.20,75472.54,99199.81,3891367.11,PASS,21295,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s65536_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s65536_r2_a1_server.log
zlink,65536,3,1,10000,5,1,0,74359.80,9294.98,75377.06,94880.45,3842038.22,PASS,21297,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s65536_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/zlink_s65536_r3_a1_server.log
cgdk10,64,1,1,10000,5,1,0,330252.00,40.31,27895.90,35056.85,40609.44,PASS,21299,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s64_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s64_r1_a1_server.log
cgdk10,64,2,1,10000,5,1,0,325036.00,39.68,27257.21,33653.98,39740.09,PASS,21301,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s64_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s64_r2_a1_server.log
cgdk10,64,3,1,10000,5,1,0,337054.60,41.14,27377.20,34760.52,54904.06,PASS,21303,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s64_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s64_r3_a1_server.log
cgdk10,1024,1,1,10000,5,1,0,296494.40,579.09,29017.16,34226.34,40087.61,PASS,21305,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s1024_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s1024_r1_a1_server.log
cgdk10,1024,2,1,10000,5,1,0,289361.60,565.16,29737.52,36190.93,67152.03,PASS,21307,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s1024_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s1024_r2_a1_server.log
cgdk10,1024,3,1,10000,5,1,0,305691.80,597.05,30262.90,42550.86,61314.97,PASS,21311,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s1024_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s1024_r3_a1_server.log
cgdk10,65536,1,1,10000,5,1,0,74546.20,9318.27,125121.85,142567.61,452565.00,PASS,21313,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s65536_r1_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s65536_r1_a1_server.log
cgdk10,65536,2,1,10000,5,1,0,70056.60,8757.08,124602.67,137111.76,741227.14,PASS,21315,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s65536_r2_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s65536_r2_a1_server.log
cgdk10,65536,3,1,10000,5,1,0,76307.80,9538.48,124793.32,144814.04,342888.35,PASS,21317,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s65536_r3_a1_client.log,doc/plan/baseline/20260218_compare_all5_final_rerun2/logs/cgdk10_s65536_r3_a1_server.log
