## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
| 65536B |      6.51 Kops/s |    853.6 MB/s |     58.50 us |    1.8 |      6.7 |    1.7 |      6.7 |
| 131072B |      5.85 Kops/s |   1533.8 MB/s |     66.50 us |    2.0 |      7.2 |    2.0 |      7.0 |
| 262144B |      4.56 Kops/s |   2389.6 MB/s |    100.00 us |    2.3 |      7.6 |    2.4 |      7.3 |

## PATTERN: MULTI_STREAM_CALLBACK (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |      8.65 Kops/s |      1.1 MB/s |     92.00 us |    1.2 |      6.7 |    1.2 |      6.7 |
| 256B |     10.07 Kops/s |      5.2 MB/s |     42.00 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 1024B |      9.92 Kops/s |     20.3 MB/s |     42.00 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 65536B |      6.73 Kops/s |    882.2 MB/s |     94.00 us |    1.7 |      6.9 |    1.7 |      6.7 |
| 131072B |      6.10 Kops/s |   1600.3 MB/s |    161.50 us |    2.0 |      7.2 |    2.0 |      7.0 |
| 262144B |      4.69 Kops/s |   2459.8 MB/s |    101.50 us |    2.3 |      7.4 |    2.3 |      7.3 |

## PATTERN: MULTI_STREAM_LEN32BE (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |     10.26 Kops/s |      1.3 MB/s |     62.00 us |    1.2 |      6.7 |    1.2 |      6.7 |
| 256B |     10.06 Kops/s |      5.2 MB/s |     41.50 us |    1.3 |      6.7 |    1.3 |      6.7 |
| 1024B |      9.76 Kops/s |     20.0 MB/s |     48.50 us |    1.3 |      6.6 |    1.3 |      6.7 |
| 65536B |      7.04 Kops/s |    923.3 MB/s |     56.50 us |    1.8 |      6.9 |    1.8 |      6.7 |
| 131072B |      5.86 Kops/s |   1536.1 MB/s |     77.50 us |    2.0 |      7.2 |    2.0 |      7.0 |
| 262144B |      4.52 Kops/s |   2367.9 MB/s |     84.50 us |    2.3 |      7.6 |    2.3 |      7.3 |
