stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
cppserver,64,1,1,10000,5,1,0,386252.00,47.15,18896.31,27280.49,30982.72,PASS,21345,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s64_r1_a1_client.log,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s64_r1_a1_server.log
cppserver,64,2,1,10000,5,1,0,389916.40,47.60,18722.50,27491.26,30004.61,PASS,21346,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s64_r2_a1_client.log,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s64_r2_a1_server.log
cppserver,64,3,1,10000,5,1,0,393002.80,47.97,19186.43,27187.17,28961.84,PASS,21347,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s64_r3_a1_client.log,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s64_r3_a1_server.log
cppserver,1024,1,1,10000,5,1,0,351649.80,686.82,19901.56,30363.00,38192.58,PASS,21349,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s1024_r1_a1_client.log,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s1024_r1_a1_server.log
cppserver,1024,2,1,10000,5,1,0,349648.80,682.91,20185.08,30117.91,32797.99,PASS,21350,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s1024_r2_a1_client.log,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s1024_r2_a1_server.log
cppserver,1024,3,1,10000,5,1,0,327086.40,638.84,20356.51,43990.34,120165.02,PASS,21351,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s1024_r3_a1_client.log,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s1024_r3_a1_server.log
cppserver,65536,1,1,10000,5,1,0,73972.00,9246.50,27056.50,36974.29,5453414.06,PASS,21353,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s65536_r1_a1_client.log,doc/plan/baseline/20260218_native_cpp_all/logs/cppserver_s65536_r1_a1_server.log
