stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
zlink,64,1,1,1000,5,1,0,238525.40,29.12,4009.37,5484.49,6151.46,PASS,20577,/home/hep7/project/kairos/zlink-perf-wt/doc/plan/baseline/20260217_phase0_zlink64/logs/zlink_s64_r1_a1_client.log,/home/hep7/project/kairos/zlink-perf-wt/doc/plan/baseline/20260217_phase0_zlink64/logs/zlink_s64_r1_a1_server.log
zlink,64,2,1,1000,5,1,0,224926.40,27.46,4267.78,5993.49,6804.21,PASS,20578,/home/hep7/project/kairos/zlink-perf-wt/doc/plan/baseline/20260217_phase0_zlink64/logs/zlink_s64_r2_a1_client.log,/home/hep7/project/kairos/zlink-perf-wt/doc/plan/baseline/20260217_phase0_zlink64/logs/zlink_s64_r2_a1_server.log
zlink,64,3,1,1000,5,1,0,234588.40,28.64,4064.75,5730.64,6524.23,PASS,20579,/home/hep7/project/kairos/zlink-perf-wt/doc/plan/baseline/20260217_phase0_zlink64/logs/zlink_s64_r3_a1_client.log,/home/hep7/project/kairos/zlink-perf-wt/doc/plan/baseline/20260217_phase0_zlink64/logs/zlink_s64_r3_a1_server.log
