stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
zlink,64,1,1,10000,5,1,0,360408.40,44.00,26247.24,28749.39,29996.70,PASS,20133,doc/plan/baseline/20260218_probe_no_poll_hotpath_zlink_all_r1/logs/zlink_s64_r1_a1_client.log,doc/plan/baseline/20260218_probe_no_poll_hotpath_zlink_all_r1/logs/zlink_s64_r1_a1_server.log
zlink,1024,1,1,10000,5,1,0,336581.20,657.39,27842.14,31552.12,37707.99,PASS,20134,doc/plan/baseline/20260218_probe_no_poll_hotpath_zlink_all_r1/logs/zlink_s1024_r1_a1_client.log,doc/plan/baseline/20260218_probe_no_poll_hotpath_zlink_all_r1/logs/zlink_s1024_r1_a1_server.log
zlink,65536,1,1,10000,5,1,0,70128.40,8766.05,71919.33,110088.76,5025034.35,PASS,20135,doc/plan/baseline/20260218_probe_no_poll_hotpath_zlink_all_r1/logs/zlink_s65536_r1_a1_client.log,doc/plan/baseline/20260218_probe_no_poll_hotpath_zlink_all_r1/logs/zlink_s65536_r1_a1_server.log
