stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
zlink,1024,1,1,10000,5,1,0,130674.80,255.22,50407.36,71068.00,102715.57,PASS,21871,doc/plan/baseline/20260217_cmp_zlink_s1024/logs/zlink_s1024_r1_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024/logs/zlink_s1024_r1_a1_server.log
zlink,1024,2,1,10000,5,1,0,130277.40,254.45,51684.94,74778.43,95078.68,PASS,21873,doc/plan/baseline/20260217_cmp_zlink_s1024/logs/zlink_s1024_r2_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024/logs/zlink_s1024_r2_a1_server.log
zlink,1024,3,1,10000,5,1,0,132717.40,259.21,47084.93,74391.99,101059.29,PASS,21875,doc/plan/baseline/20260217_cmp_zlink_s1024/logs/zlink_s1024_r3_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024/logs/zlink_s1024_r3_a1_server.log
