Iteration,Pattern,Transport,MsgSize,Metric,Value
8,DEALER_ROUTER,tcp,64,latency,28.46
9,DEALER_ROUTER,tcp,64,throughput,4102395.80
9,DEALER_ROUTER,tcp,64,latency,32.45
10,DEALER_ROUTER,tcp,64,throughput,4359654.02
10,DEALER_ROUTER,tcp,64,latency,28.37
1,ROUTER_ROUTER,tcp,64,throughput,4256143.21
1,ROUTER_ROUTER,tcp,64,latency,19.88
2,ROUTER_ROUTER,tcp,64,throughput,4582625.89
2,ROUTER_ROUTER,tcp,64,latency,18.04
3,ROUTER_ROUTER,tcp,64,throughput,4405528.94
3,ROUTER_ROUTER,tcp,64,latency,18.56
4,ROUTER_ROUTER,tcp,64,throughput,4158133.83
4,ROUTER_ROUTER,tcp,64,latency,17.81
5,ROUTER_ROUTER,tcp,64,throughput,4477738.92
5,ROUTER_ROUTER,tcp,64,latency,16.93
6,ROUTER_ROUTER,tcp,64,throughput,4638272.71
6,ROUTER_ROUTER,tcp,64,latency,17.59
7,ROUTER_ROUTER,tcp,64,throughput,4717481.81
7,ROUTER_ROUTER,tcp,64,latency,17.66
8,ROUTER_ROUTER,tcp,64,throughput,3850834.09
8,ROUTER_ROUTER,tcp,64,latency,22.62
9,ROUTER_ROUTER,tcp,64,throughput,4591874.22
9,ROUTER_ROUTER,tcp,64,latency,21.27
10,ROUTER_ROUTER,tcp,64,throughput,3992510.05
10,ROUTER_ROUTER,tcp,64,latency,19.24
