## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
| 65536B |      6.89 Kops/s |    903.5 MB/s |     70.90 us |    1.8 |     32.2 |    1.7 |     38.4 |
| 131072B |      6.16 Kops/s |   1615.2 MB/s |    101.85 us |    2.1 |     32.5 |    2.1 |     38.8 |
| 262144B |      4.44 Kops/s |   2330.0 MB/s |    206.95 us |    2.3 |     32.7 |    2.3 |     38.8 |

## PATTERN: MULTI_STREAM_CALLBACK (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |     10.06 Kops/s |      1.3 MB/s |     45.40 us |    1.3 |     31.9 |    1.3 |     38.1 |
| 256B |     10.00 Kops/s |      5.1 MB/s |     82.55 us |    1.3 |     32.0 |    1.3 |     38.0 |
| 1024B |      9.10 Kops/s |     18.6 MB/s |     82.55 us |    1.3 |     32.2 |    1.3 |     38.1 |
| 65536B |      6.96 Kops/s |    912.6 MB/s |     66.20 us |    1.8 |     32.0 |    1.8 |     38.3 |
| 131072B |      6.35 Kops/s |   1664.7 MB/s |    102.50 us |    2.1 |     32.5 |    2.0 |     38.1 |
| 262144B |      4.78 Kops/s |   2507.4 MB/s |     95.50 us |    2.4 |     33.1 |    2.3 |     39.1 |

## PATTERN: MULTI_STREAM_LEN32BE (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|--------|----------|--------|----------|
| 64B |     10.27 Kops/s |      1.3 MB/s |     45.05 us |    1.2 |     33.3 |    1.2 |     38.3 |
| 256B |      8.83 Kops/s |      4.5 MB/s |    103.45 us |    1.2 |     32.0 |    1.2 |     38.4 |
| 1024B |      9.34 Kops/s |     19.1 MB/s |    237.00 us |    1.3 |     32.0 |    1.3 |     38.3 |
| 65536B |      7.16 Kops/s |    937.9 MB/s |     63.75 us |    1.7 |     32.2 |    1.7 |     38.3 |
| 131072B |      5.70 Kops/s |   1495.0 MB/s |    180.55 us |    2.0 |     32.5 |    1.9 |     38.8 |
| 262144B |      4.54 Kops/s |   2380.8 MB/s |    105.10 us |    2.3 |     33.1 |    2.2 |     39.0 |
