stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
zlink,1024,1,1,10000,5,1,0,132393.20,258.58,50350.80,72626.73,104712.34,PASS,20775,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath/logs/zlink_s1024_r1_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath/logs/zlink_s1024_r1_a1_server.log
zlink,1024,2,1,10000,5,1,0,134250.60,262.21,48941.61,69988.15,110735.72,PASS,20776,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath/logs/zlink_s1024_r2_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath/logs/zlink_s1024_r2_a1_server.log
zlink,1024,3,1,10000,5,1,0,135747.00,265.13,49238.54,72577.25,92671.43,PASS,20777,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath/logs/zlink_s1024_r3_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath/logs/zlink_s1024_r3_a1_server.log
