=== Running multi benchmark: dealer_dealer,dealer_router,router_router,pubsub,stream ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: dealer_dealer ---

## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
| 64B    | Throughput |    598.14 Kmsg/s |    815.85 Kmsg/s |   +36.40% |
| 64B    | Latency    |         31.81 ms |         22.48 ms |   +29.34% |
| 256B   | Throughput |    490.73 Kmsg/s |    540.72 Kmsg/s |   +10.19% |
| 256B   | Latency    |         26.97 ms |         25.71 ms |    +4.67% |
| 1024B  | Throughput |    404.51 Kmsg/s |    447.46 Kmsg/s |   +10.62% |
| 1024B  | Latency    |         22.24 ms |         22.44 ms |    -0.93% |
| 65536B | Throughput |     84.08 Kmsg/s |     67.76 Kmsg/s |   -19.41% |
| 65536B | Latency    |         89.38 ms |        114.92 ms |   -28.57% |
| 131072B | Throughput |     38.46 Kmsg/s |     41.81 Kmsg/s |    +8.71% |
| 131072B | Latency    |        186.38 ms |        183.71 ms |    +1.43% |
| 262144B | Throughput |     22.39 Kmsg/s |     19.51 Kmsg/s |   -12.88% |
| 262144B | Latency    |        219.43 ms |        309.67 ms |   -41.12% |

--- Pattern: pubsub ---

## PATTERN: MULTI_PUBSUB
  > Benchmarking libzmq for MULTI_PUBSUB...
  > Benchmarking zlink for MULTI_PUBSUB...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |  10632.92 Kmsg/s |  10606.38 Kmsg/s |    -0.25% |
| 64B    | Latency    |        709.42 ms |        525.55 ms |   +25.92% |
| 256B   | Throughput |   8453.35 Kmsg/s |   9086.35 Kmsg/s |    +7.49% |
| 256B   | Latency    |        315.11 ms |        216.39 ms |   +31.33% |
| 1024B  | Throughput |   4339.73 Kmsg/s |   5051.84 Kmsg/s |   +16.41% |
| 1024B  | Latency    |        166.85 ms |        159.55 ms |    +4.37% |
| 65536B | Throughput |    238.70 Kmsg/s |    194.49 Kmsg/s |   -18.52% |
| 65536B | Latency    |         28.34 ms |         33.18 ms |   -17.08% |
| 131072B | Throughput |     63.34 Kmsg/s |     95.80 Kmsg/s |   +51.26% |
| 131072B | Latency    |         72.43 ms |         54.86 ms |   +24.26% |
| 262144B | Throughput |     32.56 Kmsg/s |     42.58 Kmsg/s |   +30.75% |
| 262144B | Latency    |         88.02 ms |         95.64 ms |    -8.66% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |  10490.32 Kmsg/s |  10417.75 Kmsg/s |    -0.69% |
| 64B    | Latency    |          6.50 ms |          7.69 ms |   -18.37% |
| 256B   | Throughput |   8122.31 Kmsg/s |   9101.56 Kmsg/s |   +12.06% |
| 256B   | Latency    |          2.16 ms |          4.22 ms |   -94.90% |
| 1024B  | Throughput |   4027.14 Kmsg/s |   4565.20 Kmsg/s |   +13.36% |
| 1024B  | Latency    |          3.38 ms |          3.91 ms |   -15.71% |
| 65536B | Throughput |    284.64 Kmsg/s |    295.65 Kmsg/s |    +3.87% |
| 65536B | Latency    |         10.64 ms |         12.52 ms |   -17.66% |
| 131072B | Throughput |     83.85 Kmsg/s |    143.19 Kmsg/s |   +70.76% |
| 131072B | Latency    |         22.83 ms |         23.70 ms |    -3.81% |
| 262144B | Throughput |     64.17 Kmsg/s |     60.08 Kmsg/s |    -6.37% |
| 262144B | Latency    |         47.73 ms |         68.76 ms |   -44.06% |

--- Pattern: stream ---

## PATTERN: MULTI_STREAM
  > Benchmarking libzmq for MULTI_STREAM...
  > Benchmarking zlink for MULTI_STREAM...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    416.31 Kmsg/s |    416.72 Kmsg/s |    +0.10% |
| 64B    | Latency    |         24.13 ms |         24.15 ms |    -0.07% |
| 256B   | Throughput |    402.22 Kmsg/s |    406.16 Kmsg/s |    +0.98% |
| 256B   | Latency    |         24.97 ms |         24.93 ms |    +0.18% |
| 1024B  | Throughput |    384.63 Kmsg/s |    377.54 Kmsg/s |    -1.84% |
| 1024B  | Latency    |         26.15 ms |         26.57 ms |    -1.61% |
| 65536B | Throughput |     29.94 Kmsg/s |     58.20 Kmsg/s |   +94.37% |
| 65536B | Latency    |        311.74 ms |        169.22 ms |   +45.72% |
| 131072B | Throughput |     15.04 Kmsg/s |     32.20 Kmsg/s |  +114.10% |
| 131072B | Latency    |        618.84 ms |        288.68 ms |   +53.35% |
| 262144B | Throughput |      7.45 Kmsg/s |     15.59 Kmsg/s |  +109.22% |
| 262144B | Latency    |       1220.83 ms |        606.71 ms |   +50.30% |
