
## Effective Options (single)
- mode: zlink-only
- runs: 1
- duration_seconds: 5
- latency_seconds: 5
- timeout_seconds: 120
- sndtimeo_ms: 200
- recvtimeo_ms: 200
- hwm: 1000
- sndhwm: 1000
- rcvhwm: 1000
- io_threads: 0
- xpub_nodrop: 1
- patterns: PAIR,PUBSUB,DEALER_DEALER,DEALER_ROUTER,ROUTER_ROUTER
- transports: tcp,ws,wss,tls
- msg_sizes: 64,256,1024,65536,131072,262144
- build_dir: /home/hep7/project/kairos/zlink-perf-regression-bisect/core/build/bin

## PATTERN: PAIR
  > Benchmarking zlink for PAIR...
### Transport: tcp
| 65536B | Latency    |          7.12 ms |
| 131072B | Throughput |     52.03 Kmsg/s |
| 131072B | Latency    |         12.82 ms |
| 262144B | Throughput |     28.96 Kmsg/s |
| 262144B | Latency    |         22.48 ms |
  > Benchmarking zlink for DEALER_DEALER...
### Transport: ws
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3078.54 Kmsg/s |
| 64B    | Latency    |         44.11 ms |
| 256B   | Throughput |   2231.53 Kmsg/s |
| 256B   | Latency    |         24.41 ms |
| 1024B  | Throughput |   1012.11 Kmsg/s |
| 1024B  | Latency    |          9.39 ms |
| 65536B | Throughput |     46.58 Kmsg/s |
| 65536B | Latency    |         19.70 ms |
| 131072B | Throughput |     31.54 Kmsg/s |
| 131072B | Latency    |         21.99 ms |
| 262144B | Throughput |     17.70 Kmsg/s |
| 262144B | Latency    |         38.76 ms |
  > Benchmarking zlink for DEALER_DEALER...
### Transport: wss
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3696.88 Kmsg/s |
| 64B    | Latency    |         67.44 ms |
| 256B   | Throughput |   1804.42 Kmsg/s |
| 256B   | Latency    |         34.38 ms |
| 1024B  | Throughput |    572.81 Kmsg/s |
| 1024B  | Latency    |         31.18 ms |
| 65536B | Throughput |     18.22 Kmsg/s |
| 65536B | Latency    |         47.74 ms |
| 131072B | Throughput |      9.95 Kmsg/s |
| 131072B | Latency    |         80.45 ms |
| 262144B | Throughput |      5.63 Kmsg/s |
| 262144B | Latency    |        134.94 ms |
  > Benchmarking zlink for DEALER_DEALER...
### Transport: tls
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3808.77 Kmsg/s |
| 64B    | Latency    |         95.20 ms |
| 256B   | Throughput |   2289.36 Kmsg/s |
| 256B   | Latency    |          0.40 ms |
| 1024B  | Throughput |    838.67 Kmsg/s |
| 1024B  | Latency    |          0.85 ms |
| 65536B | Throughput |     24.80 Kmsg/s |
| 65536B | Latency    |         29.34 ms |
| 131072B | Throughput |     13.41 Kmsg/s |
| 131072B | Latency    |         53.97 ms |
| 262144B | Throughput |      6.87 Kmsg/s |
| 262144B | Latency    |        104.07 ms |

## PATTERN: DEALER_ROUTER
  > Benchmarking zlink for DEALER_ROUTER...
### Transport: tcp
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3458.87 Kmsg/s |
| 64B    | Latency    |        103.71 ms |
| 256B   | Throughput |   2495.82 Kmsg/s |
| 256B   | Latency    |          0.33 ms |
| 1024B  | Throughput |   1366.11 Kmsg/s |
| 1024B  | Latency    |          0.49 ms |
| 65536B | Throughput |     94.24 Kmsg/s |
| 65536B | Latency    |          7.22 ms |
| 131072B | Throughput |     51.18 Kmsg/s |
| 131072B | Latency    |         13.01 ms |
| 262144B | Throughput |     29.31 Kmsg/s |
| 262144B | Latency    |         22.29 ms |
  > Benchmarking zlink for DEALER_ROUTER...
### Transport: ws
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   2890.52 Kmsg/s |
| 64B    | Latency    |         35.49 ms |
| 256B   | Throughput |   2049.25 Kmsg/s |
| 256B   | Latency    |         16.38 ms |
| 1024B  | Throughput |   1038.32 Kmsg/s |
| 1024B  | Latency    |         10.41 ms |
| 65536B | Throughput |     46.05 Kmsg/s |
| 65536B | Latency    |         19.64 ms |
| 131072B | Throughput |     31.05 Kmsg/s |
| 131072B | Latency    |         22.43 ms |
| 262144B | Throughput |     17.46 Kmsg/s |
| 262144B | Latency    |         39.52 ms |
  > Benchmarking zlink for DEALER_ROUTER...
### Transport: wss
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   2836.21 Kmsg/s |
| 64B    | Latency    |         63.51 ms |
| 256B   | Throughput |   1774.12 Kmsg/s |
| 256B   | Latency    |         41.69 ms |
| 1024B  | Throughput |    585.07 Kmsg/s |
| 1024B  | Latency    |         33.38 ms |
| 65536B | Throughput |     18.41 Kmsg/s |
| 65536B | Latency    |         47.98 ms |
| 131072B | Throughput |     10.51 Kmsg/s |
| 131072B | Latency    |         76.68 ms |
| 262144B | Throughput |      5.46 Kmsg/s |
| 262144B | Latency    |        140.17 ms |
  > Benchmarking zlink for DEALER_ROUTER...
### Transport: tls
| Size   | Metric     |            zlink |
|--------|------------|------------------|
| 64B    | Throughput |   3337.07 Kmsg/s |
| 64B    | Latency    |         74.75 ms |
