stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
zlink,64,1,1,10000,5,1,0,337423.40,41.19,27198.78,29419.65,32515.06,PASS,21427,doc/plan/baseline/20260218_probe_rrtie_zlink_all_r1/logs/zlink_s64_r1_a1_client.log,doc/plan/baseline/20260218_probe_rrtie_zlink_all_r1/logs/zlink_s64_r1_a1_server.log
zlink,1024,1,1,10000,5,1,0,312406.20,610.17,29748.52,33092.62,35979.23,PASS,21428,doc/plan/baseline/20260218_probe_rrtie_zlink_all_r1/logs/zlink_s1024_r1_a1_client.log,doc/plan/baseline/20260218_probe_rrtie_zlink_all_r1/logs/zlink_s1024_r1_a1_server.log
zlink,65536,1,1,10000,5,1,0,72722.20,9090.27,78844.57,95543.76,4076614.48,PASS,21429,doc/plan/baseline/20260218_probe_rrtie_zlink_all_r1/logs/zlink_s65536_r1_a1_client.log,doc/plan/baseline/20260218_probe_rrtie_zlink_all_r1/logs/zlink_s65536_r1_a1_server.log
