stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
zlink,64,1,1,10000,5,1,0,146784.20,17.92,38255.39,56134.26,196055.21,PASS,21199,doc/plan/baseline/20260218_locked_zlink_s64/logs/zlink_s64_r1_a1_client.log,doc/plan/baseline/20260218_locked_zlink_s64/logs/zlink_s64_r1_a1_server.log
zlink,64,2,1,10000,5,1,0,149744.00,18.28,39147.61,57786.15,83657.79,PASS,21201,doc/plan/baseline/20260218_locked_zlink_s64/logs/zlink_s64_r2_a1_client.log,doc/plan/baseline/20260218_locked_zlink_s64/logs/zlink_s64_r2_a1_server.log
zlink,64,3,1,10000,5,1,0,149024.40,18.19,44996.91,67026.94,82577.07,PASS,21203,doc/plan/baseline/20260218_locked_zlink_s64/logs/zlink_s64_r3_a1_client.log,doc/plan/baseline/20260218_locked_zlink_s64/logs/zlink_s64_r3_a1_server.log
