=== Running multi benchmark: dealer_dealer,dealer_router,router_router,pubsub,stream ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: dealer_dealer ---

## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1957.62 Kmsg/s |   1559.07 Kmsg/s |   -20.36% |
| 64B    | Latency    |          0.09 ms |          0.10 ms |   -19.60% |
| 256B   | Throughput |   1224.41 Kmsg/s |   1118.05 Kmsg/s |    -8.69% |
| 256B   | Latency    |          0.09 ms |          0.10 ms |   -12.64% |
| 1024B  | Throughput |   1174.85 Kmsg/s |   1001.78 Kmsg/s |   -14.73% |
| 1024B  | Latency    |          0.08 ms |          0.12 ms |   -44.29% |
| 65536B | Throughput |    185.38 Kmsg/s |    182.20 Kmsg/s |    -1.71% |
| 65536B | Latency    |         39.51 ms |         40.66 ms |    -2.91% |
| 131072B | Throughput |     92.15 Kmsg/s |     88.86 Kmsg/s |    -3.57% |
| 131072B | Latency    |         79.22 ms |         83.31 ms |    -5.16% |
| 262144B | Throughput |     47.86 Kmsg/s |     45.21 Kmsg/s |    -5.54% |
| 262144B | Latency    |        173.33 ms |        161.97 ms |    +6.55% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1909.61 Kmsg/s |   1388.04 Kmsg/s |   -27.31% |
| 64B    | Latency    |          0.07 ms |          0.08 ms |   -12.49% |
| 256B   | Throughput |   1166.93 Kmsg/s |   1035.39 Kmsg/s |   -11.27% |
| 256B   | Latency    |          0.07 ms |          0.09 ms |   -36.95% |
| 1024B  | Throughput |   1118.76 Kmsg/s |    922.24 Kmsg/s |   -17.57% |
| 1024B  | Latency    |          0.07 ms |          0.08 ms |   -15.56% |
| 65536B | Throughput |    176.94 Kmsg/s |    172.99 Kmsg/s |    -2.23% |
| 65536B | Latency    |         41.58 ms |         42.52 ms |    -2.26% |
| 131072B | Throughput |     95.87 Kmsg/s |     89.55 Kmsg/s |    -6.59% |
| 131072B | Latency    |         77.00 ms |         82.75 ms |    -7.48% |
| 262144B | Throughput |     49.82 Kmsg/s |     48.05 Kmsg/s |    -3.54% |
| 262144B | Latency    |        145.02 ms |        153.28 ms |    -5.70% |

--- Pattern: dealer_router ---

## PATTERN: MULTI_DEALER_ROUTER
  > Benchmarking libzmq for MULTI_DEALER_ROUTER...
  > Benchmarking zlink for MULTI_DEALER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    872.43 Kmsg/s |    925.74 Kmsg/s |    +6.11% |
| 64B    | Latency    |          0.11 ms |          0.11 ms |    +5.82% |
| 256B   | Throughput |    850.83 Kmsg/s |    940.58 Kmsg/s |   +10.55% |
| 256B   | Latency    |          0.12 ms |          0.11 ms |    +9.59% |
| 1024B  | Throughput |    834.38 Kmsg/s |    916.60 Kmsg/s |    +9.85% |
| 1024B  | Latency    |          0.12 ms |          0.11 ms |    +9.02% |
| 65536B | Throughput |    149.24 Kmsg/s |    149.42 Kmsg/s |    +0.12% |
| 65536B | Latency    |          0.67 ms |          0.67 ms |    -0.01% |
| 131072B | Throughput |     67.36 Kmsg/s |     50.55 Kmsg/s |   -24.96% |
| 131072B | Latency    |          1.48 ms |          1.98 ms |   -33.31% |
| 262144B | Throughput |     25.69 Kmsg/s |     24.51 Kmsg/s |    -4.61% |
| 262144B | Latency    |          3.87 ms |          4.07 ms |    -5.35% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    865.38 Kmsg/s |    973.73 Kmsg/s |   +12.52% |
| 64B    | Latency    |          0.12 ms |          0.10 ms |   +11.20% |
| 256B   | Throughput |    894.62 Kmsg/s |    992.12 Kmsg/s |   +10.90% |
| 256B   | Latency    |          0.11 ms |          0.10 ms |    +9.89% |
| 1024B  | Throughput |    877.40 Kmsg/s |    995.57 Kmsg/s |   +13.47% |
| 1024B  | Latency    |          0.11 ms |          0.10 ms |   +11.95% |
| 65536B | Throughput |    193.17 Kmsg/s |    160.16 Kmsg/s |   -17.09% |
| 65536B | Latency    |          0.52 ms |          0.62 ms |   -20.75% |
| 131072B | Throughput |     81.49 Kmsg/s |     61.08 Kmsg/s |   -25.04% |
| 131072B | Latency    |          1.22 ms |          1.64 ms |   -33.56% |
| 262144B | Throughput |     29.70 Kmsg/s |     26.59 Kmsg/s |   -10.49% |
| 262144B | Latency    |          3.35 ms |          3.76 ms |   -12.18% |

--- Pattern: router_router ---

## PATTERN: MULTI_ROUTER_ROUTER
  > Benchmarking libzmq for MULTI_ROUTER_ROUTER...
  > Benchmarking zlink for MULTI_ROUTER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    792.75 Kmsg/s |    871.39 Kmsg/s |    +9.92% |
| 64B    | Latency    |          0.13 ms |          0.11 ms |    +9.07% |
| 256B   | Throughput |    765.55 Kmsg/s |    873.93 Kmsg/s |   +14.16% |
| 256B   | Latency    |          0.13 ms |          0.11 ms |   +12.45% |
| 1024B  | Throughput |    782.56 Kmsg/s |    848.95 Kmsg/s |    +8.48% |
| 1024B  | Latency    |          0.13 ms |          0.12 ms |    +7.86% |
| 65536B | Throughput |    141.21 Kmsg/s |    130.93 Kmsg/s |    -7.28% |
| 65536B | Latency    |          0.71 ms |          0.76 ms |    -8.01% |
| 131072B | Throughput |     60.21 Kmsg/s |     62.13 Kmsg/s |    +3.18% |
| 131072B | Latency    |          1.66 ms |          1.61 ms |    +3.02% |
