
## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1998.06 Kmsg/s |   1581.68 Kmsg/s |   -20.84% |
| 64B    | Latency    |          0.08 ms |          0.11 ms |   -39.76% |
| 256B   | Throughput |   1252.30 Kmsg/s |   1116.42 Kmsg/s |   -10.85% |
| 256B   | Latency    |          0.08 ms |          0.09 ms |   -22.29% |
| 1024B  | Throughput |   1211.91 Kmsg/s |   1025.56 Kmsg/s |   -15.38% |
| 1024B  | Latency    |          0.09 ms |          0.09 ms |    +3.73% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1888.17 Kmsg/s |   1392.26 Kmsg/s |   -26.26% |
| 64B    | Latency    |          0.07 ms |          0.13 ms |   -87.90% |
| 256B   | Throughput |   1195.95 Kmsg/s |   1019.63 Kmsg/s |   -14.74% |
| 256B   | Latency    |          0.07 ms |          0.10 ms |   -29.85% |
| 1024B  | Throughput |   1142.90 Kmsg/s |    963.21 Kmsg/s |   -15.72% |
| 1024B  | Latency    |          0.07 ms |          0.11 ms |   -66.44% |
