
## PATTERN: MULTI_DEALER_ROUTER
  > Benchmarking libzmq for MULTI_DEALER_ROUTER...
  > Benchmarking zlink for MULTI_DEALER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    900.91 Kmsg/s |    993.14 Kmsg/s |   +10.24% |
| 64B    | Latency    |          0.11 ms |          0.10 ms |    +9.35% |
| 256B   | Throughput |    887.05 Kmsg/s |    987.42 Kmsg/s |   +11.32% |
| 256B   | Latency    |          0.11 ms |          0.10 ms |   +10.23% |
| 1024B  | Throughput |    856.12 Kmsg/s |    960.94 Kmsg/s |   +12.24% |
| 1024B  | Latency    |          0.12 ms |          0.10 ms |   +10.96% |
| 65536B | Throughput |    144.44 Kmsg/s |    153.36 Kmsg/s |    +6.17% |
| 65536B | Latency    |          0.69 ms |          0.65 ms |    +5.80% |
| 131072B | Throughput |     69.08 Kmsg/s |     69.75 Kmsg/s |    +0.97% |
| 131072B | Latency    |          1.45 ms |          1.43 ms |    +0.97% |
| 262144B | Throughput |     26.51 Kmsg/s |     32.17 Kmsg/s |   +21.32% |
| 262144B | Latency    |          3.76 ms |          3.10 ms |   +17.57% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    941.17 Kmsg/s |   1044.06 Kmsg/s |   +10.93% |
| 64B    | Latency    |          0.11 ms |          0.10 ms |    +9.94% |
| 256B   | Throughput |    932.64 Kmsg/s |   1029.69 Kmsg/s |   +10.41% |
| 256B   | Latency    |          0.11 ms |          0.10 ms |    +9.51% |
| 1024B  | Throughput |    907.15 Kmsg/s |   1006.80 Kmsg/s |   +10.98% |
| 1024B  | Latency    |          0.11 ms |          0.10 ms |    +9.98% |
| 65536B | Throughput |    219.21 Kmsg/s |    166.82 Kmsg/s |   -23.90% |
| 65536B | Latency    |          0.46 ms |          0.60 ms |   -31.42% |
| 131072B | Throughput |    105.99 Kmsg/s |     72.04 Kmsg/s |   -32.04% |
| 131072B | Latency    |          0.94 ms |          1.39 ms |   -47.19% |
| 262144B | Throughput |     37.34 Kmsg/s |     32.88 Kmsg/s |   -11.96% |
| 262144B | Latency    |          2.67 ms |          3.03 ms |   -13.28% |
