=== Running multi benchmark: dealer_dealer,dealer_router,router_router,pubsub,stream ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: dealer_dealer ---

## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1973.75 Kmsg/s |   1550.13 Kmsg/s |   -21.46% |
| 64B    | Latency    |          0.09 ms |          0.13 ms |   -33.07% |
| 256B   | Throughput |   1221.89 Kmsg/s |   1109.21 Kmsg/s |    -9.22% |
| 256B   | Latency    |          0.09 ms |          0.12 ms |   -35.66% |
| 1024B  | Throughput |   1132.66 Kmsg/s |    988.80 Kmsg/s |   -12.70% |
| 1024B  | Latency    |          0.09 ms |          0.10 ms |   -18.44% |
| 65536B | Throughput |    172.60 Kmsg/s |    170.04 Kmsg/s |    -1.48% |
| 65536B | Latency    |         42.77 ms |         43.59 ms |    -1.93% |
| 131072B | Throughput |     86.33 Kmsg/s |     84.66 Kmsg/s |    -1.93% |
| 131072B | Latency    |         91.52 ms |         87.80 ms |    +4.07% |
| 262144B | Throughput |     44.14 Kmsg/s |     41.83 Kmsg/s |    -5.24% |
| 262144B | Latency    |        165.79 ms |        173.80 ms |    -4.83% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1834.80 Kmsg/s |   1389.06 Kmsg/s |   -24.29% |
| 64B    | Latency    |          0.07 ms |          0.08 ms |   -13.07% |
| 256B   | Throughput |   1181.72 Kmsg/s |   1054.56 Kmsg/s |   -10.76% |
| 256B   | Latency    |          0.07 ms |          0.08 ms |   -18.83% |
| 1024B  | Throughput |   1112.16 Kmsg/s |    922.88 Kmsg/s |   -17.02% |
| 1024B  | Latency    |          0.06 ms |          0.08 ms |   -20.71% |
| 65536B | Throughput |    177.86 Kmsg/s |    166.64 Kmsg/s |    -6.31% |
| 65536B | Latency    |         41.57 ms |         44.21 ms |    -6.34% |
| 131072B | Throughput |     91.21 Kmsg/s |     85.05 Kmsg/s |    -6.76% |
| 131072B | Latency    |         80.95 ms |         87.34 ms |    -7.90% |
| 262144B | Throughput |     44.95 Kmsg/s |     45.22 Kmsg/s |    +0.62% |
| 262144B | Latency    |        162.12 ms |        162.57 ms |    -0.28% |

--- Pattern: dealer_router ---

## PATTERN: MULTI_DEALER_ROUTER
  > Benchmarking libzmq for MULTI_DEALER_ROUTER...
  > Benchmarking zlink for MULTI_DEALER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    889.60 Kmsg/s |    984.70 Kmsg/s |   +10.69% |
| 64B    | Latency    |          0.11 ms |          0.10 ms |    +9.72% |
| 256B   | Throughput |    874.78 Kmsg/s |    979.46 Kmsg/s |   +11.97% |
| 256B   | Latency    |          0.11 ms |          0.10 ms |   +10.75% |
| 1024B  | Throughput |    878.13 Kmsg/s |    957.59 Kmsg/s |    +9.05% |
| 1024B  | Latency    |          0.11 ms |          0.10 ms |    +8.35% |
| 65536B | Throughput |    168.77 Kmsg/s |    159.75 Kmsg/s |    -5.35% |
| 65536B | Latency    |          0.59 ms |          0.63 ms |    -5.70% |
| 131072B | Throughput |     74.38 Kmsg/s |     69.12 Kmsg/s |    -7.07% |
| 131072B | Latency    |          1.34 ms |          1.45 ms |    -7.97% |
| 262144B | Throughput |     31.15 Kmsg/s |     32.51 Kmsg/s |    +4.39% |
| 262144B | Latency    |          3.20 ms |          3.07 ms |    +4.07% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    921.29 Kmsg/s |   1015.79 Kmsg/s |   +10.26% |
| 64B    | Latency    |          0.11 ms |          0.10 ms |    +9.39% |
| 256B   | Throughput |    927.69 Kmsg/s |   1015.29 Kmsg/s |    +9.44% |
| 256B   | Latency    |          0.11 ms |          0.10 ms |    +8.71% |
| 1024B  | Throughput |    894.76 Kmsg/s |   1003.46 Kmsg/s |   +12.15% |
| 1024B  | Latency    |          0.11 ms |          0.10 ms |   +10.91% |
| 65536B | Throughput |    213.06 Kmsg/s |    168.70 Kmsg/s |   -20.82% |
| 65536B | Latency    |          0.47 ms |          0.59 ms |   -26.44% |
