=== Running multi benchmark: dealer_dealer,dealer_router,router_router,pubsub,stream ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: dealer_dealer ---

## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   2017.32 Kmsg/s |   1558.67 Kmsg/s |   -22.74% |
| 64B    | Latency    |          0.10 ms |          0.10 ms |    -0.62% |
| 256B   | Throughput |   1256.81 Kmsg/s |   1125.32 Kmsg/s |   -10.46% |
| 256B   | Latency    |          0.08 ms |          0.11 ms |   -39.74% |
| 1024B  | Throughput |   1281.70 Kmsg/s |   1000.48 Kmsg/s |   -21.94% |
| 1024B  | Latency    |          0.71 ms |          0.10 ms |   +86.55% |
| 65536B | Throughput |    176.12 Kmsg/s |    177.81 Kmsg/s |    +0.96% |
| 65536B | Latency    |         42.08 ms |         41.78 ms |    +0.71% |
| 131072B | Throughput |     88.80 Kmsg/s |     86.81 Kmsg/s |    -2.24% |
| 131072B | Latency    |         83.15 ms |         85.38 ms |    -2.68% |
| 262144B | Throughput |     45.42 Kmsg/s |     42.53 Kmsg/s |    -6.36% |
| 262144B | Latency    |        159.78 ms |        172.20 ms |    -7.77% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1847.88 Kmsg/s |   1428.24 Kmsg/s |   -22.71% |
| 64B    | Latency    |          0.06 ms |          0.08 ms |   -32.52% |
| 256B   | Throughput |   1175.22 Kmsg/s |   1088.26 Kmsg/s |    -7.40% |
| 256B   | Latency    |          0.07 ms |          0.09 ms |   -39.12% |
| 1024B  | Throughput |   1168.29 Kmsg/s |    942.24 Kmsg/s |   -19.35% |
| 1024B  | Latency    |          0.16 ms |          0.09 ms |   +46.89% |
| 65536B | Throughput |    180.10 Kmsg/s |    179.13 Kmsg/s |    -0.54% |
| 65536B | Latency    |         41.08 ms |         41.37 ms |    -0.73% |
| 131072B | Throughput |     93.28 Kmsg/s |     85.38 Kmsg/s |    -8.47% |
| 131072B | Latency    |         79.24 ms |         86.71 ms |    -9.43% |
| 262144B | Throughput |     47.23 Kmsg/s |     44.47 Kmsg/s |    -5.84% |
