
## PATTERN: MULTI_ROUTER_ROUTER
  > Benchmarking libzmq for MULTI_ROUTER_ROUTER...
  > Benchmarking zlink for MULTI_ROUTER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    797.31 Kmsg/s |    893.34 Kmsg/s |   +12.04% |
| 64B    | Latency    |          0.13 ms |          0.11 ms |   +10.80% |
| 256B   | Throughput |    746.72 Kmsg/s |    848.83 Kmsg/s |   +13.67% |
| 256B   | Latency    |          0.13 ms |          0.12 ms |   +12.08% |
| 1024B  | Throughput |    759.74 Kmsg/s |    816.81 Kmsg/s |    +7.51% |
| 1024B  | Latency    |          0.13 ms |          0.12 ms |    +7.03% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    824.38 Kmsg/s |    875.68 Kmsg/s |    +6.22% |
| 64B    | Latency    |          0.12 ms |          0.11 ms |    +5.93% |
| 256B   | Throughput |    794.87 Kmsg/s |    878.72 Kmsg/s |   +10.55% |
| 256B   | Latency    |          0.13 ms |          0.11 ms |    +9.60% |
| 1024B  | Throughput |    786.60 Kmsg/s |    872.81 Kmsg/s |   +10.96% |
| 1024B  | Latency    |          0.13 ms |          0.11 ms |    +9.95% |
