
## PATTERN: MULTI_ROUTER_ROUTER
  > Benchmarking libzmq for MULTI_ROUTER_ROUTER...
  > Benchmarking zlink for MULTI_ROUTER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    845.86 Kmsg/s |    870.90 Kmsg/s |    +2.96% |
| 64B    | Latency    |          0.12 ms |          0.11 ms |    +2.93% |
| 256B   | Throughput |    837.13 Kmsg/s |    873.65 Kmsg/s |    +4.36% |
| 256B   | Latency    |          0.12 ms |          0.11 ms |    +4.25% |
| 1024B  | Throughput |    820.93 Kmsg/s |    860.90 Kmsg/s |    +4.87% |
| 1024B  | Latency    |          0.12 ms |          0.12 ms |    +4.70% |
| 65536B | Throughput |    170.23 Kmsg/s |    159.31 Kmsg/s |    -6.42% |
| 65536B | Latency    |          0.59 ms |          0.63 ms |    -6.97% |
| 131072B | Throughput |     75.32 Kmsg/s |     70.33 Kmsg/s |    -6.62% |
| 131072B | Latency    |          1.32 ms |          1.42 ms |    -7.28% |
| 262144B | Throughput |     30.34 Kmsg/s |     33.49 Kmsg/s |   +10.41% |
| 262144B | Latency    |          3.29 ms |          2.98 ms |    +9.28% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    834.35 Kmsg/s |    866.89 Kmsg/s |    +3.90% |
| 64B    | Latency    |          0.12 ms |          0.12 ms |    +3.84% |
| 256B   | Throughput |    857.91 Kmsg/s |    858.73 Kmsg/s |    +0.10% |
| 256B   | Latency    |          0.12 ms |          0.12 ms |    +0.19% |
| 1024B  | Throughput |    839.32 Kmsg/s |    826.62 Kmsg/s |    -1.51% |
| 1024B  | Latency    |          0.12 ms |          0.12 ms |    -1.46% |
| 65536B | Throughput |    210.10 Kmsg/s |    171.15 Kmsg/s |   -18.54% |
| 65536B | Latency    |          0.48 ms |          0.58 ms |   -22.91% |
| 131072B | Throughput |     92.64 Kmsg/s |     70.84 Kmsg/s |   -23.53% |
| 131072B | Latency    |          1.08 ms |          1.41 ms |   -31.04% |
| 262144B | Throughput |     35.27 Kmsg/s |     32.97 Kmsg/s |    -6.51% |
| 262144B | Latency    |          2.83 ms |          3.03 ms |    -7.01% |
