=== Running multi benchmark: dealer_dealer,dealer_router,router_router,pubsub,stream ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: dealer_dealer ---

## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
| 64B    | Throughput |    837.61 Kmsg/s |    950.53 Kmsg/s |   +13.48% |
| 64B    | Latency    |          0.12 ms |          0.10 ms |   +11.95% |
| 256B   | Throughput |    850.44 Kmsg/s |    943.39 Kmsg/s |   +10.93% |
| 256B   | Latency    |          0.12 ms |          0.11 ms |    +9.93% |
| 1024B  | Throughput |    826.36 Kmsg/s |    925.23 Kmsg/s |   +11.96% |
| 1024B  | Latency    |          0.12 ms |          0.11 ms |   +10.76% |
| 65536B | Throughput |    200.25 Kmsg/s |    159.60 Kmsg/s |   -20.30% |
| 65536B | Latency    |          0.50 ms |          0.63 ms |   -25.51% |
| 131072B | Throughput |     80.40 Kmsg/s |     65.58 Kmsg/s |   -18.43% |
| 131072B | Latency    |          1.24 ms |          1.52 ms |   -22.63% |
| 262144B | Throughput |     32.42 Kmsg/s |     30.50 Kmsg/s |    -5.92% |
| 262144B | Latency    |          3.08 ms |          3.26 ms |    -5.96% |

--- Pattern: pubsub ---

## PATTERN: MULTI_PUBSUB
  > Benchmarking libzmq for MULTI_PUBSUB...
  > Benchmarking zlink for MULTI_PUBSUB...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   6595.26 Kmsg/s |   6134.15 Kmsg/s |    -6.99% |
| 64B    | Latency    |       1355.12 ms |        737.38 ms |   +45.59% |
| 256B   | Throughput |   5855.24 Kmsg/s |   5592.42 Kmsg/s |    -4.49% |
| 256B   | Latency    |        598.09 ms |        817.77 ms |   -36.73% |
| 1024B  | Throughput |   3453.31 Kmsg/s |   4002.75 Kmsg/s |   +15.91% |
| 1024B  | Latency    |        357.39 ms |        351.59 ms |    +1.62% |
| 65536B | Throughput |    281.74 Kmsg/s |    194.77 Kmsg/s |   -30.87% |
| 65536B | Latency    |         42.15 ms |        108.62 ms |  -157.73% |
| 131072B | Throughput |     96.60 Kmsg/s |     78.24 Kmsg/s |   -19.01% |
| 131072B | Latency    |        134.90 ms |        179.36 ms |   -32.96% |
| 262144B | Throughput |     36.66 Kmsg/s |     31.04 Kmsg/s |   -15.33% |
| 262144B | Latency    |        274.92 ms |        371.71 ms |   -35.21% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   7339.75 Kmsg/s |   6205.65 Kmsg/s |   -15.45% |
| 64B    | Latency    |         15.32 ms |         15.08 ms |    +1.59% |
| 256B   | Throughput |   6276.93 Kmsg/s |   5839.78 Kmsg/s |    -6.96% |
| 256B   | Latency    |          5.85 ms |          7.96 ms |   -35.93% |
| 1024B  | Throughput |   3486.21 Kmsg/s |   3838.05 Kmsg/s |   +10.09% |
| 1024B  | Latency    |          5.55 ms |          6.72 ms |   -20.97% |
| 65536B | Throughput |    312.73 Kmsg/s |    339.05 Kmsg/s |    +8.42% |
| 65536B | Latency    |         23.82 ms |         22.26 ms |    +6.56% |
| 131072B | Throughput |    131.90 Kmsg/s |    133.76 Kmsg/s |    +1.41% |
| 131072B | Latency    |         56.85 ms |         56.36 ms |    +0.86% |
| 262144B | Throughput |     52.44 Kmsg/s |     50.92 Kmsg/s |    -2.89% |
| 262144B | Latency    |        141.74 ms |        147.36 ms |    -3.97% |

--- Pattern: stream ---

## PATTERN: MULTI_STREAM
  > Benchmarking libzmq for MULTI_STREAM...
  > Benchmarking zlink for MULTI_STREAM...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    375.75 Kmsg/s |    373.04 Kmsg/s |    -0.72% |
| 64B    | Latency    |         26.79 ms |         27.28 ms |    -1.84% |
| 256B   | Throughput |    384.89 Kmsg/s |    386.36 Kmsg/s |    +0.38% |
| 256B   | Latency    |         25.55 ms |         25.85 ms |    -1.17% |
