
## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   2017.45 Kmsg/s |   1476.22 Kmsg/s |   -26.83% |
| 64B    | Latency    |          0.08 ms |          0.09 ms |    -9.52% |
| 256B   | Throughput |   1227.16 Kmsg/s |   1103.07 Kmsg/s |   -10.11% |
| 256B   | Latency    |          0.07 ms |          0.08 ms |    -4.32% |
| 1024B  | Throughput |   1165.48 Kmsg/s |    991.22 Kmsg/s |   -14.95% |
| 1024B  | Latency    |          0.07 ms |          0.08 ms |   -16.08% |
| 65536B | Throughput |    174.85 Kmsg/s |    175.03 Kmsg/s |    +0.10% |
| 65536B | Latency    |         54.41 ms |         42.41 ms |   +22.06% |
| 131072B | Throughput |     88.32 Kmsg/s |     86.79 Kmsg/s |    -1.73% |
| 131072B | Latency    |         83.75 ms |         85.35 ms |    -1.91% |
| 262144B | Throughput |     44.96 Kmsg/s |     43.19 Kmsg/s |    -3.94% |
| 262144B | Latency    |        203.42 ms |        169.59 ms |   +16.63% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1964.59 Kmsg/s |   1351.22 Kmsg/s |   -31.22% |
| 64B    | Latency    |          0.08 ms |          0.07 ms |    +9.26% |
| 256B   | Throughput |   1235.35 Kmsg/s |   1052.20 Kmsg/s |   -14.83% |
| 256B   | Latency    |          0.06 ms |          0.09 ms |   -43.36% |
| 1024B  | Throughput |   1155.33 Kmsg/s |    907.52 Kmsg/s |   -21.45% |
| 1024B  | Latency    |          0.07 ms |          0.07 ms |    +1.90% |
| 65536B | Throughput |    184.12 Kmsg/s |    181.60 Kmsg/s |    -1.37% |
| 65536B | Latency    |         40.15 ms |         40.80 ms |    -1.62% |
| 131072B | Throughput |     91.81 Kmsg/s |     88.54 Kmsg/s |    -3.57% |
| 131072B | Latency    |         80.62 ms |         83.74 ms |    -3.86% |
| 262144B | Throughput |     47.50 Kmsg/s |     44.74 Kmsg/s |    -5.82% |
| 262144B | Latency    |        154.20 ms |        163.22 ms |    -5.85% |
