
## PATTERN: MULTI_DEALER_ROUTER
  > Benchmarking libzmq for MULTI_DEALER_ROUTER...
  > Benchmarking zlink for MULTI_DEALER_ROUTER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    891.69 Kmsg/s |    926.45 Kmsg/s |    +3.90% |
| 64B    | Latency    |          0.11 ms |          0.11 ms |    +3.82% |
| 256B   | Throughput |    915.80 Kmsg/s |    908.11 Kmsg/s |    -0.84% |
| 256B   | Latency    |          0.11 ms |          0.11 ms |    -0.77% |
| 1024B  | Throughput |    891.14 Kmsg/s |    885.86 Kmsg/s |    -0.59% |
| 1024B  | Latency    |          0.11 ms |          0.11 ms |    -0.53% |
| 65536B | Throughput |    164.58 Kmsg/s |    160.33 Kmsg/s |    -2.58% |
| 65536B | Latency    |          0.61 ms |          0.62 ms |    -2.71% |
| 131072B | Throughput |     73.07 Kmsg/s |     70.32 Kmsg/s |    -3.77% |
| 131072B | Latency    |          1.37 ms |          1.42 ms |    -4.00% |
| 262144B | Throughput |     28.69 Kmsg/s |     33.33 Kmsg/s |   +16.16% |
| 262144B | Latency    |          3.47 ms |          3.00 ms |   +13.60% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |    955.69 Kmsg/s |    930.88 Kmsg/s |    -2.60% |
| 64B    | Latency    |          0.10 ms |          0.11 ms |    -2.58% |
| 256B   | Throughput |    938.05 Kmsg/s |    925.61 Kmsg/s |    -1.33% |
| 256B   | Latency    |          0.11 ms |          0.11 ms |    -1.24% |
| 1024B  | Throughput |    899.57 Kmsg/s |    908.74 Kmsg/s |    +1.02% |
| 1024B  | Latency    |          0.11 ms |          0.11 ms |    +1.09% |
| 65536B | Throughput |    212.59 Kmsg/s |    169.98 Kmsg/s |   -20.04% |
| 65536B | Latency    |          0.47 ms |          0.59 ms |   -25.24% |
| 131072B | Throughput |     89.77 Kmsg/s |     71.03 Kmsg/s |   -20.87% |
| 131072B | Latency    |          1.11 ms |          1.41 ms |   -26.53% |
| 262144B | Throughput |     42.12 Kmsg/s |     32.82 Kmsg/s |   -22.08% |
| 262144B | Latency    |          2.37 ms |          3.04 ms |   -28.38% |
