=== Running multi benchmark: dealer_dealer,dealer_router,router_router,pubsub,stream ===
    warmup=2s duration=5s runs=1 transports=tcp,ipc

--- Pattern: dealer_dealer ---

## PATTERN: MULTI_DEALER_DEALER
  > Benchmarking libzmq for MULTI_DEALER_DEALER...
  > Benchmarking zlink for MULTI_DEALER_DEALER...

### Transport: tcp
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   2003.00 Kmsg/s |   1570.61 Kmsg/s |   -21.59% |
| 64B    | Latency    |          0.09 ms |          0.10 ms |   -11.87% |
| 256B   | Throughput |   1228.68 Kmsg/s |   1130.21 Kmsg/s |    -8.01% |
| 256B   | Latency    |          0.08 ms |          0.09 ms |    -8.81% |
| 1024B  | Throughput |   1148.22 Kmsg/s |   1018.66 Kmsg/s |   -11.28% |
| 1024B  | Latency    |          0.08 ms |          0.09 ms |    -6.53% |
| 65536B | Throughput |    174.49 Kmsg/s |    174.63 Kmsg/s |    +0.08% |
| 65536B | Latency    |         42.43 ms |         42.19 ms |    +0.57% |
| 131072B | Throughput |     92.13 Kmsg/s |     79.94 Kmsg/s |   -13.23% |
| 131072B | Latency    |        112.90 ms |        116.58 ms |    -3.25% |
| 262144B | Throughput |     20.28 Kmsg/s |     35.56 Kmsg/s |   +75.30% |
| 262144B | Latency    |        417.14 ms |        338.97 ms |   +18.74% |

### Transport: ipc
| Size   | Metric     |  Standard libzmq |            zlink |  Diff (%) |
|--------|------------|------------------|------------------|-----------|
| 64B    | Throughput |   1819.14 Kmsg/s |   1439.79 Kmsg/s |   -20.85% |
| 64B    | Latency    |          0.07 ms |          0.15 ms |  -117.32% |
| 256B   | Throughput |   1214.32 Kmsg/s |   1043.94 Kmsg/s |   -14.03% |
| 256B   | Latency    |          0.07 ms |          0.08 ms |    -8.01% |
| 1024B  | Throughput |   1168.15 Kmsg/s |    937.52 Kmsg/s |   -19.74% |
| 1024B  | Latency    |          0.08 ms |          0.09 ms |    -8.06% |
| 65536B | Throughput |    178.34 Kmsg/s |    176.51 Kmsg/s |    -1.03% |
| 65536B | Latency    |         41.47 ms |         41.83 ms |    -0.87% |
| 131072B | Throughput |     98.50 Kmsg/s |     92.33 Kmsg/s |    -6.27% |
| 131072B | Latency    |         74.82 ms |         79.98 ms |    -6.89% |
| 262144B | Throughput |     53.29 Kmsg/s |     45.19 Kmsg/s |   -15.21% |
| 262144B | Latency    |        135.56 ms |        161.53 ms |   -19.15% |

--- Pattern: dealer_router ---

## PATTERN: MULTI_DEALER_ROUTER
  > Benchmarking libzmq for MULTI_DEALER_ROUTER...
