stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
zlink,1024,1,1,10000,5,1,0,259966.20,507.75,36535.32,38825.15,71634.42,PASS,21511,doc/plan/baseline/20260217_cmp_zlink_s1024_after_multisock/logs/zlink_s1024_r1_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024_after_multisock/logs/zlink_s1024_r1_a1_server.log
zlink,1024,2,1,10000,5,1,0,269798.40,526.95,36298.19,40182.71,47911.62,PASS,21513,doc/plan/baseline/20260217_cmp_zlink_s1024_after_multisock/logs/zlink_s1024_r2_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024_after_multisock/logs/zlink_s1024_r2_a1_server.log
zlink,1024,3,1,10000,5,1,0,263153.40,513.97,37191.62,41749.31,46676.87,PASS,21514,doc/plan/baseline/20260217_cmp_zlink_s1024_after_multisock/logs/zlink_s1024_r3_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024_after_multisock/logs/zlink_s1024_r3_a1_server.log
