stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
cppserver,64,1,1,10000,5,1,0,367474.00,44.86,20330.96,28406.24,31704.57,PASS,21332,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s64_r1_a1_client.log,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s64_r1_a1_server.log
cppserver,64,2,1,10000,5,1,0,226881.80,27.70,21721.79,65166.38,88749.64,PASS,21333,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s64_r2_a1_client.log,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s64_r2_a1_server.log
cppserver,64,3,1,10000,5,1,0,328330.20,40.08,20295.87,29474.43,45128.86,PASS,21335,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s64_r3_a1_client.log,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s64_r3_a1_server.log
cppserver,1024,1,1,10000,5,1,0,322762.20,630.39,16590.78,25595.37,27964.36,PASS,21337,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s1024_r1_a1_client.log,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s1024_r1_a1_server.log
cppserver,1024,2,1,10000,5,1,0,330697.40,645.89,20103.43,30548.90,37607.45,PASS,21339,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s1024_r2_a1_client.log,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s1024_r2_a1_server.log
cppserver,1024,3,1,10000,5,1,0,332592.40,649.59,20232.11,30136.44,32485.19,PASS,21341,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s1024_r3_a1_client.log,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s1024_r3_a1_server.log
cppserver,65536,1,1,10000,5,1,0,68107.20,8513.40,28932.45,41225.48,5528810.07,PASS,21343,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s65536_r1_a1_client.log,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s65536_r1_a1_server.log
cppserver,65536,2,1,10000,5,1,0,69409.20,8676.15,39813.86,48037.07,5459040.16,PASS,21345,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s65536_r2_a1_client.log,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s65536_r2_a1_server.log
cppserver,65536,3,1,10000,5,1,0,69783.40,8722.92,40280.71,47602.97,5446000.42,PASS,21347,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s65536_r3_a1_client.log,doc/plan/baseline/20260218_recmp_cpp_inflight1/logs/cppserver_s65536_r3_a1_server.log
