## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.90 Kmsg/s |      0.1 MB/s |   1113.49 us |  1149.00 us |  1184.16 us |  0.7 |   86.8 |
| 256B |      0.89 Kmsg/s |      0.2 MB/s |   1121.99 us |  1163.00 us |  1224.04 us |  0.7 |   83.9 |
| 1024B |      0.89 Kmsg/s |      0.9 MB/s |   1119.33 us |  1159.00 us |  1207.20 us |  0.6 |   83.8 |
| 65536B |      0.90 Kmsg/s |     58.9 MB/s |   1110.41 us |  1159.00 us |  1195.03 us |  0.8 |   85.8 |
| 131072B |      0.87 Kmsg/s |    114.5 MB/s |   1142.88 us |  1203.00 us |  1259.31 us |  0.9 |   86.3 |
| 262144B |      0.85 Kmsg/s |    221.7 MB/s |   1180.96 us |  1268.00 us |  1311.00 us |  1.1 |   87.0 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.89 Kmsg/s |      0.1 MB/s |   1117.56 us |  1152.00 us |  1229.64 us |  0.7 |   88.6 |
| 256B |      0.91 Kmsg/s |      0.2 MB/s |   1096.66 us |  1146.00 us |  1182.47 us |  0.7 |   88.4 |
| 1024B |      0.90 Kmsg/s |      0.9 MB/s |   1104.80 us |  1153.00 us |  1256.80 us |  0.7 |   89.6 |
| 65536B |      0.89 Kmsg/s |     58.1 MB/s |   1127.39 us |  1180.00 us |  1226.71 us |  1.0 |   86.6 |
| 131072B |      0.87 Kmsg/s |    114.2 MB/s |   1145.84 us |  1215.00 us |  1263.42 us |  1.2 |   89.3 |
| 262144B |      0.85 Kmsg/s |    223.1 MB/s |   1173.45 us |  1254.25 us |  1297.90 us |  1.6 |   88.9 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.91 Kmsg/s |      0.1 MB/s |   1093.62 us |  1135.00 us |  1214.68 us |  0.7 |   85.8 |
| 256B |      0.90 Kmsg/s |      0.2 MB/s |   1111.59 us |  1151.00 us |  1235.09 us |  0.7 |   85.4 |
| 1024B |      0.89 Kmsg/s |      0.9 MB/s |   1121.63 us |  1165.00 us |  1248.49 us |  0.7 |   86.4 |
| 65536B |      0.87 Kmsg/s |     57.3 MB/s |   1142.14 us |  1199.00 us |  1243.58 us |  0.9 |   86.0 |
| 131072B |      0.87 Kmsg/s |    114.5 MB/s |   1143.14 us |  1227.00 us |  1268.00 us |  1.0 |   86.7 |
| 262144B |      0.85 Kmsg/s |    222.0 MB/s |   1179.51 us |  1270.35 us |  1307.00 us |  1.2 |   87.3 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.90 Kmsg/s |      0.1 MB/s |   1111.01 us |  1148.00 us |  1195.00 us |  0.7 |   91.6 |
| 256B |      0.89 Kmsg/s |      0.2 MB/s |   1118.36 us |  1157.00 us |  1211.00 us |  0.7 |   89.9 |
| 1024B |      0.89 Kmsg/s |      0.9 MB/s |   1116.12 us |  1163.00 us |  1203.27 us |  0.7 |   89.4 |
| 65536B |      0.89 Kmsg/s |     58.6 MB/s |   1116.83 us |  1166.00 us |  1201.29 us |  1.1 |   91.1 |
| 131072B |      0.87 Kmsg/s |    114.4 MB/s |   1143.91 us |  1202.00 us |  1232.35 us |  1.3 |   92.1 |
| 262144B |      0.84 Kmsg/s |    221.1 MB/s |   1184.13 us |  1263.00 us |  1301.00 us |  1.8 |   91.6 |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |   1405.38 Kmsg/s |     89.9 MB/s |      0.68 us |     1.00 us |     1.00 us |  1.6 |   88.3 |
| 256B |   1399.23 Kmsg/s |    358.2 MB/s |      0.68 us |     1.00 us |     1.00 us |  1.7 |   92.6 |
| 1024B |   1324.20 Kmsg/s |   1356.0 MB/s |      0.72 us |     1.00 us |     1.00 us |  1.9 |   90.7 |
| 65536B |    235.65 Kmsg/s |  15443.7 MB/s |      4.19 us |     5.00 us |     5.00 us |  4.9 |   78.6 |
| 131072B |    110.33 Kmsg/s |  14460.7 MB/s |      8.98 us |     9.00 us |    12.00 us |  4.9 |   80.9 |
| 262144B |     59.32 Kmsg/s |  15550.5 MB/s |     16.79 us |    17.00 us |    23.00 us |  4.8 |   80.4 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.90 Kmsg/s |      0.1 MB/s |   1112.52 us |  1155.65 us |  1190.00 us |  0.6 |   86.4 |
| 256B |      0.90 Kmsg/s |      0.2 MB/s |   1103.95 us |  1153.00 us |  1255.00 us |  0.6 |   85.4 |
| 1024B |      0.90 Kmsg/s |      0.9 MB/s |   1113.98 us |  1152.00 us |  1236.36 us |  0.6 |   86.3 |
| 65536B |      0.88 Kmsg/s |     57.7 MB/s |   1135.01 us |  1188.00 us |  1231.00 us |  0.8 |   86.2 |
| 131072B |      0.87 Kmsg/s |    113.7 MB/s |   1151.24 us |  1212.00 us |  1249.63 us |  0.9 |   85.1 |
| 262144B |      0.86 Kmsg/s |    224.9 MB/s |   1164.11 us |  1256.00 us |  1287.00 us |  1.1 |   87.0 |

===============================================================================

## PATTERN: PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     22.37 Kmsg/s |      1.4 MB/s |     44.27 us |    83.00 us |   117.00 us |  3.1 |  112.0 |
| 256B |     24.10 Kmsg/s |      6.2 MB/s |     41.12 us |    76.00 us |   118.00 us |  3.2 |  106.9 |
| 1024B |     24.95 Kmsg/s |     25.5 MB/s |     39.75 us |    73.00 us |   114.00 us |  3.2 |  112.4 |
| 65536B |     11.63 Kmsg/s |    762.4 MB/s |     84.83 us |   110.00 us |   126.00 us |  3.8 |   94.4 |
| 131072B |      9.32 Kmsg/s |   1222.1 MB/s |    106.05 us |   135.00 us |   151.00 us |  4.2 |   92.7 |
| 262144B |      6.89 Kmsg/s |   1805.8 MB/s |    143.87 us |   181.00 us |   211.00 us |  4.4 |   89.2 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     17.61 Kmsg/s |      1.1 MB/s |     56.09 us |    89.00 us |   139.40 us |  3.7 |  105.5 |
| 256B |     21.01 Kmsg/s |      5.4 MB/s |     47.15 us |    84.00 us |   105.00 us |  3.6 |  111.7 |
| 1024B |     14.12 Kmsg/s |     14.5 MB/s |     69.98 us |    95.00 us |   113.00 us |  4.0 |  102.2 |
| 65536B |      7.06 Kmsg/s |    462.4 MB/s |    140.41 us |   192.00 us |   237.00 us |  4.3 |   94.3 |
| 131072B |      5.62 Kmsg/s |    736.2 MB/s |    176.62 us |   254.00 us |   301.00 us |  4.4 |   90.7 |
| 262144B |      3.41 Kmsg/s |    893.1 MB/s |    291.82 us |   427.30 us |   518.66 us |  4.7 |   90.3 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     25.05 Kmsg/s |      1.6 MB/s |     39.56 us |    65.00 us |   143.00 us |  3.4 |  113.6 |
| 256B |     16.16 Kmsg/s |      4.1 MB/s |     61.02 us |    88.00 us |   104.00 us |  3.5 |  100.4 |
| 1024B |     15.86 Kmsg/s |     16.2 MB/s |     62.14 us |    88.00 us |   102.00 us |  3.7 |  100.2 |
| 65536B |     10.67 Kmsg/s |    699.5 MB/s |     92.42 us |   129.00 us |   179.00 us |  4.1 |   94.2 |
| 131072B |      8.01 Kmsg/s |   1049.4 MB/s |    123.64 us |   169.00 us |   262.00 us |  4.3 |   90.2 |
| 262144B |      7.03 Kmsg/s |   1842.2 MB/s |    141.05 us |   215.00 us |   302.00 us |  4.5 |   96.1 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     14.38 Kmsg/s |      0.9 MB/s |     68.54 us |    94.00 us |   109.00 us |  3.7 |  103.7 |
| 256B |     13.76 Kmsg/s |      3.5 MB/s |     71.65 us |   101.00 us |   126.00 us |  3.8 |  100.7 |
| 1024B |     13.66 Kmsg/s |     14.0 MB/s |     72.17 us |   103.00 us |   125.00 us |  4.0 |  102.9 |
| 65536B |      6.93 Kmsg/s |    454.4 MB/s |    143.16 us |   220.00 us |   281.00 us |  4.5 |   94.8 |
| 131072B |      5.55 Kmsg/s |    727.6 MB/s |    179.27 us |   298.00 us |   364.00 us |  4.5 |   94.2 |
| 262144B |      3.36 Kmsg/s |    880.9 MB/s |    296.45 us |   459.00 us |   545.99 us |  4.5 |   92.1 |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |    444.20 Kmsg/s |     28.4 MB/s |      0.89 us |     1.00 us |     2.00 us |  7.9 |  508.2 |
| 256B |    490.59 Kmsg/s |    125.6 MB/s |      0.88 us |     1.00 us |     2.00 us |  8.3 |  588.4 |
| 1024B |    538.04 Kmsg/s |    550.9 MB/s |      0.96 us |     2.00 us |     2.00 us |  8.7 |  664.9 |
| 65536B |    193.70 Kmsg/s |  12694.2 MB/s |      5.11 us |     6.00 us |     7.00 us |  7.5 |  264.8 |
| 131072B |    102.78 Kmsg/s |  13471.3 MB/s |      9.66 us |    10.00 us |    15.00 us |  6.3 |  164.7 |
| 262144B |     56.10 Kmsg/s |  14707.1 MB/s |     17.74 us |    19.00 us |    25.00 us |  5.9 |  161.2 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     31.56 Kmsg/s |      2.0 MB/s |     31.43 us |    55.00 us |    81.00 us |  3.1 |  124.2 |
| 256B |     32.79 Kmsg/s |      8.4 MB/s |     30.25 us |    49.00 us |    75.00 us |  3.1 |  119.7 |
| 1024B |     31.75 Kmsg/s |     32.5 MB/s |     31.24 us |    52.00 us |    76.00 us |  3.7 |  155.2 |
| 65536B |     18.40 Kmsg/s |   1205.9 MB/s |     53.92 us |   104.00 us |   176.00 us |  3.7 |  103.2 |
| 131072B |     12.67 Kmsg/s |   1660.9 MB/s |     78.26 us |   150.00 us |   217.00 us |  4.0 |   99.0 |
| 262144B |      8.01 Kmsg/s |   2099.8 MB/s |    124.02 us |   246.00 us |   340.00 us |  4.2 |   93.1 |

===============================================================================

## PATTERN: DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.91 Kmsg/s |      0.1 MB/s |   1102.87 us |  1138.00 us |  1193.19 us |  0.6 |   85.1 |
| 256B |      0.90 Kmsg/s |      0.2 MB/s |   1112.21 us |  1147.00 us |  1225.00 us |  0.6 |   85.0 |
| 1024B |      0.89 Kmsg/s |      0.9 MB/s |   1118.75 us |  1156.00 us |  1198.37 us |  0.7 |   86.4 |
| 65536B |      0.87 Kmsg/s |     57.3 MB/s |   1142.21 us |  1197.00 us |  1233.29 us |  0.8 |   85.8 |
| 131072B |      0.86 Kmsg/s |    112.7 MB/s |   1161.86 us |  1232.00 us |  1267.06 us |  0.9 |   85.2 |
| 262144B |      0.84 Kmsg/s |    221.0 MB/s |   1184.12 us |  1274.00 us |  1324.00 us |  1.1 |   86.9 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1129.32 us |  1179.00 us |  1231.00 us |  0.7 |   89.3 |
| 256B |      0.89 Kmsg/s |      0.2 MB/s |   1121.41 us |  1154.40 us |  1189.00 us |  0.7 |   88.1 |
| 1024B |      0.91 Kmsg/s |      0.9 MB/s |   1101.88 us |  1150.00 us |  1198.71 us |  0.8 |   88.9 |
| 65536B |      0.88 Kmsg/s |     57.8 MB/s |   1131.68 us |  1227.00 us |  1297.80 us |  1.0 |   88.0 |
| 131072B |      0.87 Kmsg/s |    113.7 MB/s |   1151.08 us |  1218.00 us |  1294.00 us |  1.2 |   89.2 |
| 262144B |      0.85 Kmsg/s |    222.3 MB/s |   1177.32 us |  1253.00 us |  1287.60 us |  1.5 |   90.3 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.89 Kmsg/s |      0.1 MB/s |   1119.91 us |  1162.00 us |  1243.00 us |  0.7 |   86.5 |
| 256B |      0.90 Kmsg/s |      0.2 MB/s |   1108.36 us |  1152.00 us |  1243.00 us |  0.8 |   84.7 |
| 1024B |      0.90 Kmsg/s |      0.9 MB/s |   1112.98 us |  1146.00 us |  1184.56 us |  0.7 |   87.1 |
| 65536B |      0.87 Kmsg/s |     57.3 MB/s |   1142.64 us |  1203.00 us |  1255.60 us |  0.9 |   86.1 |
| 131072B |      0.86 Kmsg/s |    112.7 MB/s |   1161.68 us |  1240.00 us |  1279.02 us |  1.0 |   86.1 |
| 262144B |      0.86 Kmsg/s |    226.1 MB/s |   1158.15 us |  1240.00 us |  1286.89 us |  1.2 |   87.6 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.91 Kmsg/s |      0.1 MB/s |   1102.95 us |  1138.00 us |  1175.73 us |  0.7 |   89.4 |
| 256B |      0.89 Kmsg/s |      0.2 MB/s |   1117.29 us |  1154.00 us |  1228.00 us |  0.7 |   90.1 |
| 1024B |      0.89 Kmsg/s |      0.9 MB/s |   1120.02 us |  1149.00 us |  1240.88 us |  0.8 |   90.1 |
