## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
| 65536B |      0.89 Kmsg/s |     58.1 MB/s |   1126.06 us |  1182.00 us |  1214.66 us |  1.1 |   90.2 |
| 131072B |      0.88 Kmsg/s |    115.7 MB/s |   1131.83 us |  1188.00 us |  1231.78 us |  1.3 |   90.4 |
| 262144B |      0.84 Kmsg/s |    220.0 MB/s |   1188.95 us |  1280.00 us |  1330.08 us |  1.9 |   91.1 |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |   1393.43 Kmsg/s |     89.2 MB/s |      0.68 us |     1.00 us |     1.00 us |  1.7 |   89.4 |
| 256B |   1380.42 Kmsg/s |    353.4 MB/s |      0.69 us |     1.00 us |     1.00 us |  1.6 |   90.3 |
| 1024B |   1307.38 Kmsg/s |   1338.8 MB/s |      0.73 us |     1.00 us |     1.00 us |  1.9 |   88.9 |
| 65536B |    265.43 Kmsg/s |  17395.2 MB/s |      3.72 us |     4.00 us |     5.00 us |  4.9 |   80.6 |
| 131072B |    111.28 Kmsg/s |  14586.2 MB/s |      8.93 us |     9.00 us |    12.00 us |  4.9 |   80.0 |
| 262144B |     57.34 Kmsg/s |  15031.0 MB/s |     17.34 us |    18.00 us |    24.00 us |  4.9 |   81.6 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1130.02 us |  1165.00 us |  1255.84 us |  0.7 |   84.8 |
| 256B |      0.90 Kmsg/s |      0.2 MB/s |   1110.02 us |  1156.00 us |  1248.00 us |  0.7 |   83.8 |
| 1024B |      0.90 Kmsg/s |      0.9 MB/s |   1110.28 us |  1145.00 us |  1226.00 us |  0.7 |   85.3 |
| 65536B |      0.87 Kmsg/s |     57.2 MB/s |   1143.58 us |  1201.00 us |  1270.00 us |  0.8 |   83.9 |
| 131072B |      0.86 Kmsg/s |    112.5 MB/s |   1162.75 us |  1227.00 us |  1273.00 us |  0.9 |   84.5 |
| 262144B |      0.84 Kmsg/s |    220.2 MB/s |   1188.49 us |  1274.00 us |  1324.00 us |  1.1 |   85.7 |

===============================================================================

## PATTERN: DEALER_ROUTER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.90 Kmsg/s |      0.1 MB/s |   1114.52 us |  1158.00 us |  1272.46 us |  0.8 |   85.0 |
| 256B |      0.88 Kmsg/s |      0.2 MB/s |   1130.62 us |  1178.00 us |  1296.87 us |  0.7 |   85.7 |
| 1024B |      0.89 Kmsg/s |      0.9 MB/s |   1123.19 us |  1164.00 us |  1250.00 us |  0.7 |   85.6 |
| 65536B |      0.87 Kmsg/s |     57.3 MB/s |   1143.02 us |  1199.00 us |  1260.32 us |  0.9 |   86.0 |
| 131072B |      0.88 Kmsg/s |    115.7 MB/s |   1131.01 us |  1201.00 us |  1246.86 us |  0.9 |   86.0 |
| 262144B |      0.86 Kmsg/s |    224.5 MB/s |   1165.28 us |  1240.00 us |  1306.36 us |  1.0 |   87.1 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1130.45 us |  1175.00 us |  1281.58 us |  0.8 |   88.6 |
| 256B |      0.89 Kmsg/s |      0.2 MB/s |   1118.23 us |  1154.00 us |  1192.05 us |  0.7 |   89.5 |
| 1024B |      0.90 Kmsg/s |      0.9 MB/s |   1114.86 us |  1154.00 us |  1206.76 us |  0.7 |   87.9 |
| 65536B |      0.89 Kmsg/s |     58.3 MB/s |   1121.81 us |  1173.00 us |  1252.00 us |  1.0 |   90.6 |
| 131072B |      0.87 Kmsg/s |    113.9 MB/s |   1148.78 us |  1207.00 us |  1269.65 us |  1.2 |   89.7 |
| 262144B |      0.84 Kmsg/s |    220.7 MB/s |   1185.48 us |  1270.00 us |  1316.00 us |  1.6 |   89.1 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1131.85 us |  1174.00 us |  1273.00 us |  0.7 |   84.9 |
| 256B |      0.91 Kmsg/s |      0.2 MB/s |   1092.34 us |  1143.00 us |  1199.29 us |  0.7 |   86.5 |
| 1024B |      0.90 Kmsg/s |      0.9 MB/s |   1110.40 us |  1147.00 us |  1236.12 us |  0.7 |   86.0 |
| 65536B |      0.87 Kmsg/s |     57.3 MB/s |   1142.67 us |  1196.00 us |  1228.00 us |  0.9 |   86.2 |
| 131072B |      0.85 Kmsg/s |    112.0 MB/s |   1168.75 us |  1247.00 us |  1286.30 us |  1.0 |   86.2 |
| 262144B |      0.85 Kmsg/s |    221.6 MB/s |   1180.90 us |  1267.70 us |  1319.22 us |  1.2 |   87.2 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.89 Kmsg/s |      0.1 MB/s |   1118.74 us |  1167.00 us |  1267.40 us |  0.8 |   89.4 |
| 256B |      0.88 Kmsg/s |      0.2 MB/s |   1133.20 us |  1178.00 us |  1273.00 us |  0.9 |   91.3 |
| 1024B |      0.87 Kmsg/s |      0.9 MB/s |   1147.23 us |  1198.00 us |  1284.24 us |  0.9 |   89.0 |
| 65536B |      0.87 Kmsg/s |     57.0 MB/s |   1147.28 us |  1207.00 us |  1294.52 us |  1.1 |   89.4 |
| 131072B |      0.88 Kmsg/s |    115.0 MB/s |   1137.57 us |  1201.00 us |  1254.13 us |  1.4 |   90.7 |
| 262144B |      0.85 Kmsg/s |    224.0 MB/s |   1167.48 us |  1225.00 us |  1298.00 us |  1.8 |   91.1 |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |   1283.30 Kmsg/s |     82.1 MB/s |      0.74 us |     1.00 us |     1.00 us |  2.0 |   90.4 |
| 256B |   1258.08 Kmsg/s |    322.1 MB/s |      0.75 us |     1.00 us |     1.00 us |  2.0 |   90.7 |
| 1024B |   1200.62 Kmsg/s |   1229.4 MB/s |      0.79 us |     1.00 us |     1.00 us |  2.1 |   91.1 |
| 65536B |    246.29 Kmsg/s |  16140.7 MB/s |      4.02 us |     4.02 us |     5.00 us |  5.0 |   79.5 |
| 131072B |    120.06 Kmsg/s |  15736.5 MB/s |      8.26 us |     9.00 us |    12.00 us |  4.9 |   81.1 |
| 262144B |     57.70 Kmsg/s |  15125.4 MB/s |     17.25 us |    19.00 us |    26.00 us |  4.9 |   82.1 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1130.81 us |  1169.00 us |  1272.64 us |  0.7 |   85.0 |
| 256B |      0.89 Kmsg/s |      0.2 MB/s |   1120.82 us |  1156.00 us |  1230.48 us |  0.7 |   85.8 |
| 1024B |      0.90 Kmsg/s |      0.9 MB/s |   1106.72 us |  1142.00 us |  1244.91 us |  0.6 |   84.8 |
| 65536B |      0.87 Kmsg/s |     57.3 MB/s |   1141.68 us |  1198.00 us |  1246.00 us |  0.9 |   85.9 |
| 131072B |      0.86 Kmsg/s |    112.6 MB/s |   1161.79 us |  1228.00 us |  1263.04 us |  0.9 |   86.7 |
| 262144B |      0.84 Kmsg/s |    218.9 MB/s |   1195.23 us |  1290.25 us |  1345.50 us |  1.1 |   87.0 |

===============================================================================

## PATTERN: ROUTER_ROUTER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.90 Kmsg/s |      0.1 MB/s |   1109.63 us |  1170.20 us |  1258.00 us |  0.7 |   83.9 |
| 256B |      0.90 Kmsg/s |      0.2 MB/s |   1107.63 us |  1139.00 us |  1171.84 us |  0.7 |   86.0 |
| 1024B |      0.89 Kmsg/s |      0.9 MB/s |   1117.76 us |  1155.65 us |  1254.32 us |  0.7 |   87.0 |
| 65536B |      0.88 Kmsg/s |     57.6 MB/s |   1137.41 us |  1191.00 us |  1237.10 us |  0.8 |   85.4 |
| 131072B |      0.87 Kmsg/s |    114.3 MB/s |   1145.75 us |  1214.00 us |  1263.84 us |  0.9 |   86.1 |
| 262144B |      0.86 Kmsg/s |    225.6 MB/s |   1160.52 us |  1244.00 us |  1290.00 us |  1.1 |   87.4 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.90 Kmsg/s |      0.1 MB/s |   1108.40 us |  1144.00 us |  1233.95 us |  0.7 |   88.4 |
| 256B |      0.90 Kmsg/s |      0.2 MB/s |   1113.82 us |  1151.00 us |  1233.17 us |  0.7 |   89.3 |
| 1024B |      0.90 Kmsg/s |      0.9 MB/s |   1115.38 us |  1154.00 us |  1213.00 us |  0.7 |   89.6 |
| 65536B |      0.90 Kmsg/s |     59.1 MB/s |   1107.01 us |  1160.00 us |  1226.80 us |  1.0 |   90.1 |
| 131072B |      0.88 Kmsg/s |    114.8 MB/s |   1140.28 us |  1197.00 us |  1239.00 us |  1.2 |   89.8 |
| 262144B |      0.85 Kmsg/s |    222.7 MB/s |   1175.51 us |  1251.00 us |  1292.53 us |  1.6 |   90.5 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.89 Kmsg/s |      0.1 MB/s |   1118.72 us |  1155.00 us |  1201.37 us |  0.7 |   85.6 |
| 256B |      0.90 Kmsg/s |      0.2 MB/s |   1107.95 us |  1157.00 us |  1195.00 us |  0.7 |   86.1 |
| 1024B |      0.91 Kmsg/s |      0.9 MB/s |   1100.83 us |  1132.00 us |  1158.00 us |  0.7 |   87.2 |
| 65536B |      0.88 Kmsg/s |     57.8 MB/s |   1131.91 us |  1190.00 us |  1253.78 us |  0.9 |   86.4 |
| 131072B |      0.87 Kmsg/s |    113.4 MB/s |   1154.08 us |  1233.00 us |  1270.00 us |  1.0 |   87.0 |
| 262144B |      0.84 Kmsg/s |    220.6 MB/s |   1186.82 us |  1279.00 us |  1328.00 us |  1.2 |   87.6 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.92 Kmsg/s |      0.1 MB/s |   1085.67 us |  1119.00 us |  1180.01 us |  0.7 |   91.6 |
| 256B |      0.90 Kmsg/s |      0.2 MB/s |   1106.71 us |  1144.40 us |  1229.88 us |  0.7 |   89.2 |
| 1024B |      0.90 Kmsg/s |      0.9 MB/s |   1110.81 us |  1146.25 us |  1195.20 us |  0.7 |   91.6 |
| 65536B |      0.87 Kmsg/s |     57.1 MB/s |   1145.92 us |  1205.00 us |  1243.00 us |  1.1 |   91.7 |
| 131072B |      0.88 Kmsg/s |    115.3 MB/s |   1134.92 us |  1199.00 us |  1234.00 us |  1.4 |   91.5 |
| 262144B |      0.86 Kmsg/s |    225.7 MB/s |   1159.82 us |  1239.00 us |  1279.96 us |  1.8 |   93.0 |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |   1177.68 Kmsg/s |     75.4 MB/s |      0.81 us |     1.00 us |     1.00 us |  2.2 |  333.2 |
| 256B |   1163.28 Kmsg/s |    297.8 MB/s |      0.82 us |     1.00 us |     1.00 us |  2.2 |  332.2 |
| 1024B |   1116.50 Kmsg/s |   1143.3 MB/s |      0.86 us |     1.00 us |     1.00 us |  2.3 |  335.5 |
| 65536B |    228.34 Kmsg/s |  14964.7 MB/s |      4.33 us |     5.00 us |     6.00 us |  4.9 |  133.9 |
| 131072B |    103.08 Kmsg/s |  13511.2 MB/s |      9.63 us |    10.00 us |    14.00 us |  4.9 |  111.2 |
