## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
| 65536B |      0.85 Kmsg/s |     55.9 MB/s |   1169.91 us |  1222.00 us |  1269.32 us |  1.2 |   89.4 |
| 131072B |      0.84 Kmsg/s |    109.7 MB/s |   1193.67 us |  1252.00 us |  1277.00 us |  1.4 |   92.1 |
| 262144B |      0.83 Kmsg/s |    218.6 MB/s |   1197.77 us |  1272.00 us |  1313.31 us |  1.7 |   91.2 |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |   3646.23 Kmsg/s |    233.4 MB/s |      0.24 us |     1.00 us |     1.00 us |  4.8 |  951.1 |
| 256B |   3722.67 Kmsg/s |    953.0 MB/s |      0.23 us |     1.00 us |     1.00 us |  4.8 |  946.8 |
| 1024B |   3130.36 Kmsg/s |   3205.5 MB/s |      0.28 us |     1.00 us |     1.00 us |  4.8 |  776.9 |
| 65536B |    196.13 Kmsg/s |  12853.3 MB/s |      5.03 us |     6.00 us |     8.00 us |  4.9 |  137.2 |
| 131072B |    104.23 Kmsg/s |  13662.0 MB/s |      9.53 us |    10.00 us |    14.00 us |  4.9 |  114.6 |
| 262144B |     66.89 Kmsg/s |  17533.7 MB/s |     14.88 us |    16.00 us |    21.00 us |  4.8 |   97.1 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1140.22 us |  1191.00 us |  1300.00 us |  0.6 |   86.6 |
| 256B |      0.85 Kmsg/s |      0.2 MB/s |   1179.63 us |  1294.70 us |  1364.74 us |  0.7 |   85.1 |
| 1024B |      0.85 Kmsg/s |      0.9 MB/s |   1178.06 us |  1244.00 us |  1324.69 us |  1.1 |   85.2 |
| 65536B |      0.86 Kmsg/s |     56.4 MB/s |   1159.93 us |  1220.00 us |  1262.95 us |  0.8 |   84.4 |
| 131072B |      0.84 Kmsg/s |    109.8 MB/s |   1192.46 us |  1265.00 us |  1302.00 us |  1.0 |   85.7 |
| 262144B |      0.81 Kmsg/s |    213.6 MB/s |   1224.98 us |  1312.00 us |  1348.00 us |  1.1 |   87.0 |

===============================================================================

## PATTERN: ROUTER_ROUTER_POLL (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     22.17 Kmsg/s |      1.4 MB/s |     44.65 us |    79.00 us |   237.00 us |  3.1 |  114.9 |
| 256B |     20.36 Kmsg/s |      5.2 MB/s |     48.61 us |    88.00 us |   233.00 us |  3.0 |  107.7 |
| 1024B |     26.16 Kmsg/s |     26.8 MB/s |     37.88 us |    68.00 us |   107.00 us |  3.2 |  117.6 |
| 65536B |     16.35 Kmsg/s |   1071.4 MB/s |     60.68 us |   130.00 us |   183.00 us |  3.7 |  101.8 |
| 131072B |     11.47 Kmsg/s |   1502.8 MB/s |     86.41 us |   168.00 us |   241.00 us |  3.9 |   94.6 |
| 262144B |      8.62 Kmsg/s |   2259.0 MB/s |    115.19 us |   220.00 us |   326.00 us |  4.1 |   91.2 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     16.97 Kmsg/s |      1.1 MB/s |     58.24 us |    99.00 us |   238.00 us |  3.3 |   99.2 |
| 256B |     26.48 Kmsg/s |      6.8 MB/s |     37.45 us |    62.00 us |    97.00 us |  3.4 |  119.6 |
| 1024B |     25.50 Kmsg/s |     26.1 MB/s |     38.90 us |    66.00 us |    98.00 us |  3.4 |  119.2 |
| 65536B |      9.92 Kmsg/s |    650.0 MB/s |    100.11 us |   160.00 us |   254.00 us |  4.0 |   94.4 |
| 131072B |      6.60 Kmsg/s |    865.4 MB/s |    150.65 us |   268.00 us |   338.00 us |  4.2 |   93.2 |
| 262144B |      3.51 Kmsg/s |    919.1 MB/s |    283.61 us |   446.00 us |   533.00 us |  4.3 |   89.7 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     22.32 Kmsg/s |      1.4 MB/s |     44.32 us |    82.00 us |   185.00 us |  3.4 |  115.5 |
| 256B |     24.43 Kmsg/s |      6.3 MB/s |     40.58 us |    71.00 us |   114.00 us |  3.2 |  112.4 |
| 1024B |     21.46 Kmsg/s |     22.0 MB/s |     46.16 us |    79.00 us |   195.00 us |  3.2 |  114.9 |
| 65536B |     11.88 Kmsg/s |    778.4 MB/s |     83.47 us |   171.00 us |   284.00 us |  3.7 |   95.2 |
| 131072B |      8.33 Kmsg/s |   1091.6 MB/s |    119.22 us |   235.00 us |   325.00 us |  3.9 |   91.0 |
| 262144B |      4.79 Kmsg/s |   1256.0 MB/s |    206.79 us |   282.00 us |   336.00 us |  4.3 |   88.2 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     22.70 Kmsg/s |      1.5 MB/s |     43.66 us |    78.00 us |   105.00 us |  3.6 |  118.1 |
| 256B |     17.92 Kmsg/s |      4.6 MB/s |     55.26 us |    89.00 us |   164.00 us |  3.5 |  105.6 |
| 1024B |     15.92 Kmsg/s |     16.3 MB/s |     61.99 us |    90.00 us |   119.19 us |  3.6 |  103.6 |
| 65536B |      7.22 Kmsg/s |    473.0 MB/s |    137.77 us |   247.00 us |   320.00 us |  4.1 |   93.8 |
| 131072B |      4.45 Kmsg/s |    583.5 MB/s |    223.04 us |   357.00 us |   455.00 us |  4.3 |   89.8 |
| 262144B |      2.84 Kmsg/s |    745.6 MB/s |    349.85 us |   516.00 us |   615.00 us |  4.5 |   88.4 |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |    932.78 Kmsg/s |     59.7 MB/s |      1.02 us |     2.00 us |     3.00 us | 11.7 | 1213.0 |
| 256B |   1032.23 Kmsg/s |    264.3 MB/s |      0.92 us |     1.00 us |     3.00 us | 10.3 |  989.4 |
| 1024B |    921.34 Kmsg/s |    943.5 MB/s |      1.04 us |     2.00 us |     2.00 us | 13.5 | 1177.3 |
| 65536B |    174.66 Kmsg/s |  11446.6 MB/s |      5.66 us |     7.00 us |     9.00 us |  6.2 |  194.9 |
| 131072B |    116.61 Kmsg/s |  15284.8 MB/s |      8.51 us |    10.00 us |    15.00 us |  6.3 |  176.4 |
| 262144B |     42.24 Kmsg/s |  11073.4 MB/s |     23.54 us |    30.00 us |    50.00 us |  5.1 |  163.4 |

### Transport: ipc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     24.21 Kmsg/s |      1.5 MB/s |     40.93 us |    69.00 us |   185.00 us |  3.1 |  113.1 |
| 256B |     25.95 Kmsg/s |      6.6 MB/s |     38.20 us |    64.00 us |   134.41 us |  3.1 |  107.4 |
| 1024B |     18.94 Kmsg/s |     19.4 MB/s |     52.13 us |    76.00 us |    91.00 us |  3.3 |  102.8 |
| 65536B |     11.60 Kmsg/s |    760.5 MB/s |     84.92 us |   113.00 us |   154.00 us |  3.7 |   91.2 |
| 131072B |     11.83 Kmsg/s |   1550.0 MB/s |     83.74 us |   151.00 us |   251.74 us |  3.8 |   95.9 |
| 262144B |      7.42 Kmsg/s |   1946.2 MB/s |    133.22 us |   168.00 us |   276.00 us |  4.1 |   88.3 |

===============================================================================

## PATTERN: STREAM (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     14.40 Kmsg/s |      0.9 MB/s |     69.33 us |    99.00 us |   172.00 us |  0.9 |    9.1 |
| 256B |     11.34 Kmsg/s |      2.9 MB/s |     88.08 us |   160.00 us |   286.00 us |  0.9 |    8.9 |
| 1024B |     13.82 Kmsg/s |     14.1 MB/s |     72.27 us |   117.00 us |   218.00 us |  0.9 |    9.5 |
| 65536B |      7.85 Kmsg/s |    514.7 MB/s |    127.16 us |   236.00 us |   337.37 us |  1.2 |    8.9 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     11.69 Kmsg/s |      0.7 MB/s |     85.46 us |   142.00 us |   288.00 us |  1.0 |    9.5 |
| 256B |     10.31 Kmsg/s |      2.6 MB/s |     96.83 us |   189.00 us |   311.38 us |  1.0 |    9.4 |
| 1024B |     12.75 Kmsg/s |     13.1 MB/s |     78.35 us |   118.00 us |   163.65 us |  1.1 |    9.8 |
| 65536B |      6.78 Kmsg/s |    444.6 MB/s |    147.27 us |   247.00 us |   358.00 us |  2.3 |    9.7 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     14.34 Kmsg/s |      0.9 MB/s |     69.65 us |   101.00 us |   135.00 us |  0.9 |    9.8 |
| 256B |     11.39 Kmsg/s |      2.9 MB/s |     87.65 us |   155.00 us |   287.00 us |  0.9 |    9.1 |
| 1024B |     14.22 Kmsg/s |     14.6 MB/s |     70.20 us |   104.00 us |   144.00 us |  0.9 |    9.2 |
| 65536B |      0.86 Kmsg/s |     56.6 MB/s |   1158.14 us |  1643.00 us |  2554.85 us |  0.6 |    9.4 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     12.62 Kmsg/s |      0.8 MB/s |     79.14 us |   126.00 us |   209.00 us |  1.1 |   10.0 |
| 256B |      9.62 Kmsg/s |      2.5 MB/s |    103.85 us |   207.00 us |   318.00 us |  1.1 |   10.1 |
| 1024B |     12.27 Kmsg/s |     12.6 MB/s |     81.37 us |   124.00 us |   197.00 us |  1.1 |    9.9 |
| 65536B |      1.04 Kmsg/s |     68.4 MB/s |    957.46 us |  1850.90 us |  2758.37 us |  1.0 |   10.2 |

===============================================================================

## PATTERN: STREAM_CALLBACK (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     14.81 Kmsg/s |      0.9 MB/s |     67.42 us |   101.00 us |   189.00 us |  0.8 |    9.4 |
| 256B |     11.56 Kmsg/s |      3.0 MB/s |     86.35 us |   140.00 us |   261.00 us |  0.8 |    9.1 |
| 1024B |     15.23 Kmsg/s |     15.6 MB/s |     65.58 us |    94.00 us |   149.00 us |  0.9 |    9.4 |
| 65536B |      8.34 Kmsg/s |    546.8 MB/s |    119.74 us |   223.00 us |   340.00 us |  1.1 |    8.9 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     12.58 Kmsg/s |      0.8 MB/s |     79.35 us |   122.00 us |   249.00 us |  1.0 |    9.6 |
| 256B |      9.85 Kmsg/s |      2.5 MB/s |    101.40 us |   158.00 us |   288.57 us |  1.0 |    9.4 |
| 1024B |     11.50 Kmsg/s |     11.8 MB/s |     86.88 us |   137.00 us |   252.00 us |  1.0 |    9.7 |
| 65536B |      6.31 Kmsg/s |    413.4 MB/s |    158.35 us |   224.00 us |   307.00 us |  2.5 |    9.7 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     12.55 Kmsg/s |      0.8 MB/s |     79.52 us |   123.00 us |   171.00 us |  0.9 |    9.3 |
| 256B |     11.77 Kmsg/s |      3.0 MB/s |     84.82 us |   150.00 us |   283.00 us |  0.9 |    9.4 |
| 1024B |     13.17 Kmsg/s |     13.5 MB/s |     75.82 us |   122.00 us |   244.00 us |  0.9 |    9.1 |
| 65536B |      0.86 Kmsg/s |     56.5 MB/s |   1158.95 us |  1757.00 us |  2171.25 us |  0.6 |    9.1 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     12.03 Kmsg/s |      0.8 MB/s |     83.02 us |   139.00 us |   233.00 us |  1.1 |   10.0 |
| 256B |     10.44 Kmsg/s |      2.7 MB/s |     95.66 us |   216.00 us |   329.00 us |  1.1 |    9.9 |
| 1024B |     12.46 Kmsg/s |     12.8 MB/s |     80.13 us |   126.00 us |   209.00 us |  1.1 |   10.2 |
| 65536B |      1.14 Kmsg/s |     75.0 MB/s |    873.82 us |  1659.00 us |  2515.81 us |  1.0 |   10.2 |

===============================================================================

## PATTERN: STREAM_LEN32BE (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     12.73 Kmsg/s |      0.8 MB/s |     78.45 us |   134.00 us |   265.00 us |  0.8 |    9.1 |
| 256B |     12.35 Kmsg/s |      3.2 MB/s |     80.89 us |   126.80 us |   263.00 us |  0.8 |    9.1 |
| 1024B |     12.26 Kmsg/s |     12.6 MB/s |     81.46 us |   123.00 us |   256.00 us |  0.8 |    9.2 |
| 65536B |      8.53 Kmsg/s |    559.3 MB/s |    117.04 us |   169.00 us |   247.00 us |  1.2 |    8.8 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      9.53 Kmsg/s |      0.6 MB/s |    104.84 us |   149.00 us |   257.00 us |  1.0 |    9.7 |
| 256B |     11.66 Kmsg/s |      3.0 MB/s |     85.68 us |   145.00 us |   286.00 us |  1.0 |    9.7 |
| 1024B |     10.94 Kmsg/s |     11.2 MB/s |     91.25 us |   168.00 us |   302.87 us |  1.0 |    9.5 |
| 65536B |      6.55 Kmsg/s |    429.5 MB/s |    152.44 us |   245.00 us |   341.00 us |  2.5 |    9.7 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     13.02 Kmsg/s |      0.8 MB/s |     76.66 us |   127.00 us |   258.00 us |  0.9 |    9.4 |
| 256B |      9.89 Kmsg/s |      2.5 MB/s |    100.92 us |   147.00 us |   199.00 us |  1.0 |    9.1 |
| 1024B |     13.21 Kmsg/s |     13.5 MB/s |     75.55 us |   122.00 us |   229.00 us |  1.0 |    9.5 |
| 65536B |      0.89 Kmsg/s |     58.2 MB/s |   1125.13 us |  1542.00 us |  1743.57 us |  0.6 |    9.4 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     10.22 Kmsg/s |      0.7 MB/s |     97.76 us |   159.00 us |   289.00 us |  1.1 |    9.7 |
| 256B |      9.53 Kmsg/s |      2.4 MB/s |    104.77 us |   166.00 us |   224.00 us |  1.1 |   10.1 |
| 1024B |      8.89 Kmsg/s |      9.1 MB/s |    112.29 us |   153.00 us |   267.00 us |  1.2 |    9.8 |
| 65536B |      1.03 Kmsg/s |     67.3 MB/s |    974.11 us |  1742.00 us |  2784.10 us |  1.0 |   10.0 |

===============================================================================

## PATTERN: GATEWAY (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.85 Kmsg/s |      0.1 MB/s |   1173.38 us |  1257.00 us |  1333.47 us |  1.3 |   89.1 |
| 256B |      0.86 Kmsg/s |      0.2 MB/s |   1166.34 us |  1236.00 us |  1370.21 us |  1.0 |   90.4 |
| 1024B |      0.83 Kmsg/s |      0.8 MB/s |   1207.49 us |  1331.00 us |  1420.42 us |  1.4 |   89.7 |
| 65536B |      0.83 Kmsg/s |     54.6 MB/s |   1197.66 us |  1334.00 us |  1413.34 us |  1.2 |   89.0 |
| 131072B |      0.80 Kmsg/s |    104.7 MB/s |   1248.76 us |  1393.00 us |  1486.08 us |  1.4 |   89.9 |
| 262144B |      0.81 Kmsg/s |    211.8 MB/s |   1234.59 us |  1380.00 us |  1445.60 us |  1.6 |   91.4 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.86 Kmsg/s |      0.1 MB/s |   1164.80 us |  1237.00 us |  1329.00 us |  1.1 |   94.4 |
| 256B |      0.84 Kmsg/s |      0.2 MB/s |   1186.67 us |  1239.00 us |  1338.98 us |  1.2 |   94.3 |
| 1024B |      0.84 Kmsg/s |      0.9 MB/s |   1181.27 us |  1315.85 us |  1378.77 us |  1.1 |   91.5 |
| 65536B |      0.84 Kmsg/s |     55.3 MB/s |   1182.35 us |  1243.90 us |  1333.68 us |  1.3 |   93.4 |
| 131072B |      0.84 Kmsg/s |    109.6 MB/s |   1194.11 us |  1279.05 us |  1410.42 us |  1.6 |   94.5 |
| 262144B |      0.83 Kmsg/s |    218.0 MB/s |   1200.43 us |  1291.00 us |  1375.42 us |  1.8 |   95.4 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.85 Kmsg/s |      0.1 MB/s |   1170.81 us |  1274.00 us |  1349.00 us |  1.0 |   91.9 |
| 256B |      0.85 Kmsg/s |      0.2 MB/s |   1168.50 us |  1298.00 us |  1353.12 us |  1.1 |   88.8 |
| 1024B |      0.86 Kmsg/s |      0.9 MB/s |   1161.21 us |  1237.10 us |  1342.00 us |  1.0 |   90.1 |
| 65536B |      0.83 Kmsg/s |     54.6 MB/s |   1198.17 us |  1330.80 us |  1410.08 us |  1.3 |   91.1 |
| 131072B |      0.84 Kmsg/s |    109.9 MB/s |   1189.84 us |  1255.30 us |  1328.06 us |  1.5 |   90.3 |
| 262144B |      0.81 Kmsg/s |    212.3 MB/s |   1232.36 us |  1333.00 us |  1409.52 us |  1.6 |   92.0 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.83 Kmsg/s |      0.1 MB/s |   1198.86 us |  1321.00 us |  1388.42 us |  1.3 |   94.1 |
| 256B |      0.83 Kmsg/s |      0.2 MB/s |   1195.52 us |  1312.45 us |  1419.29 us |  1.3 |   95.9 |
| 1024B |      0.85 Kmsg/s |      0.9 MB/s |   1169.51 us |  1225.00 us |  1346.00 us |  1.0 |   94.9 |
| 65536B |      0.82 Kmsg/s |     54.0 MB/s |   1209.29 us |  1304.00 us |  1404.77 us |  1.6 |   94.8 |
| 131072B |      0.84 Kmsg/s |    109.8 MB/s |   1191.98 us |  1268.00 us |  1370.00 us |  1.7 |   96.1 |
| 262144B |      0.79 Kmsg/s |    207.5 MB/s |   1258.99 us |  1365.00 us |  1483.29 us |  2.3 |   95.6 |

===============================================================================

## PATTERN: SPOT (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.79 Kmsg/s |      0.1 MB/s |   1265.76 us |  1458.20 us |  2408.22 us |  1.2 |   89.5 |
| 256B |      0.83 Kmsg/s |      0.2 MB/s |   1198.99 us |  1323.00 us |  2307.00 us |  1.1 |   89.5 |
| 1024B |      0.84 Kmsg/s |      0.9 MB/s |   1191.84 us |  1261.10 us |  2290.22 us |  1.0 |   90.7 |
| 65536B |      0.80 Kmsg/s |     52.7 MB/s |   1241.73 us |  1688.85 us |  2331.95 us |  1.1 |   90.3 |
| 131072B |      0.76 Kmsg/s |     99.0 MB/s |   1320.43 us |  2320.00 us |  2507.00 us |  1.4 |   89.2 |
| 262144B |      0.79 Kmsg/s |    206.5 MB/s |   1267.08 us |  2296.05 us |  2373.61 us |  1.4 |   91.1 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.83 Kmsg/s |      0.1 MB/s |   1201.41 us |  1281.40 us |  2306.88 us |  1.0 |   93.3 |
| 256B |      0.79 Kmsg/s |      0.2 MB/s |   1258.58 us |  2272.75 us |  2398.05 us |  1.1 |   94.1 |
| 1024B |      0.82 Kmsg/s |      0.8 MB/s |   1222.77 us |  1432.85 us |  2340.17 us |  1.1 |   94.0 |
| 65536B |      0.76 Kmsg/s |     49.9 MB/s |   1310.73 us |  2343.00 us |  2415.93 us |  1.3 |   92.5 |
| 131072B |      0.72 Kmsg/s |     94.5 MB/s |   1383.49 us |  2406.00 us |  2528.80 us |  1.6 |   92.7 |
| 262144B |      0.69 Kmsg/s |    180.8 MB/s |   1448.52 us |  2368.00 us |  2444.56 us |  1.7 |   93.9 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.78 Kmsg/s |      0.0 MB/s |   1281.27 us |  1417.00 us |  2472.10 us |  1.4 |   91.5 |
| 256B |      0.82 Kmsg/s |      0.2 MB/s |   1217.82 us |  1386.10 us |  2374.02 us |  1.1 |   91.2 |
| 1024B |      0.80 Kmsg/s |      0.8 MB/s |   1252.84 us |  1469.05 us |  2413.00 us |  1.1 |   90.9 |
| 65536B |      0.77 Kmsg/s |     50.4 MB/s |   1297.89 us |  2343.85 us |  2459.00 us |  1.3 |   89.8 |
| 131072B |      0.78 Kmsg/s |    102.9 MB/s |   1272.56 us |  2284.00 us |  2357.00 us |  1.1 |   91.4 |
| 262144B |      0.77 Kmsg/s |    200.7 MB/s |   1304.09 us |  2314.60 us |  2380.72 us |  1.2 |   91.7 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.83 Kmsg/s |      0.1 MB/s |   1201.19 us |  1302.15 us |  2306.00 us |  1.0 |   95.6 |
| 256B |      0.82 Kmsg/s |      0.2 MB/s |   1217.71 us |  2230.00 us |  2314.00 us |  0.9 |   95.2 |
| 1024B |      0.81 Kmsg/s |      0.8 MB/s |   1235.05 us |  2253.00 us |  2366.90 us |  1.0 |   94.8 |
| 65536B |      0.77 Kmsg/s |     50.3 MB/s |   1301.73 us |  2297.00 us |  2379.00 us |  1.3 |   95.8 |
| 131072B |      0.74 Kmsg/s |     96.7 MB/s |   1353.16 us |  2355.00 us |  2467.12 us |  1.5 |   94.7 |
| 262144B |      0.65 Kmsg/s |    170.4 MB/s |   1533.88 us |  2599.00 us |  2709.50 us |  2.2 |   93.6 |
