## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
| 1024B |     21.73 Kmsg/s |     22.3 MB/s |     45.54 us |    75.00 us |   192.00 us |  3.2 |  114.7 |
| 65536B |     12.38 Kmsg/s |    811.5 MB/s |     79.73 us |   117.00 us |   224.00 us |  3.7 |   95.1 |
| 131072B |      9.82 Kmsg/s |   1287.3 MB/s |    100.62 us |   134.00 us |   164.00 us |  4.0 |   94.5 |
| 262144B |      8.20 Kmsg/s |   2150.6 MB/s |    120.93 us |   254.00 us |   338.00 us |  4.1 |   95.1 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     13.40 Kmsg/s |      0.9 MB/s |     73.51 us |    95.00 us |   109.00 us |  3.6 |  109.8 |
| 256B |     16.23 Kmsg/s |      4.2 MB/s |     60.78 us |    89.00 us |   173.00 us |  3.5 |  104.0 |
| 1024B |     19.21 Kmsg/s |     19.7 MB/s |     51.55 us |    86.00 us |   123.00 us |  3.4 |  105.8 |
| 65536B |      7.26 Kmsg/s |    476.1 MB/s |    136.29 us |   184.00 us |   207.00 us |  4.2 |   93.1 |
| 131072B |      5.60 Kmsg/s |    733.5 MB/s |    177.29 us |   265.00 us |   356.00 us |  4.3 |   96.5 |
| 262144B |      3.65 Kmsg/s |    956.6 MB/s |    272.83 us |   435.00 us |   520.54 us |  4.4 |   89.8 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     18.95 Kmsg/s |      1.2 MB/s |     52.27 us |    85.00 us |   125.00 us |  3.2 |  104.5 |
| 256B |     16.03 Kmsg/s |      4.1 MB/s |     61.61 us |    87.00 us |    99.00 us |  3.6 |   98.4 |
| 1024B |     19.13 Kmsg/s |     19.6 MB/s |     51.62 us |    82.00 us |   106.00 us |  3.4 |  103.3 |
| 65536B |     11.50 Kmsg/s |    753.8 MB/s |     85.90 us |   132.00 us |   206.88 us |  3.8 |   96.2 |
| 131072B |      8.31 Kmsg/s |   1089.4 MB/s |    118.89 us |   158.00 us |   183.00 us |  4.1 |   92.0 |
| 262144B |      6.57 Kmsg/s |   1723.2 MB/s |    150.88 us |   258.00 us |   351.34 us |  4.3 |   95.2 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |     18.53 Kmsg/s |      1.2 MB/s |     53.44 us |    92.00 us |   191.00 us |  3.2 |  108.2 |
| 256B |     16.56 Kmsg/s |      4.2 MB/s |     59.70 us |    91.15 us |   114.00 us |  3.7 |  106.3 |
| 1024B |     18.20 Kmsg/s |     18.6 MB/s |     54.37 us |    87.00 us |   199.00 us |  3.5 |  104.8 |
| 65536B |      7.19 Kmsg/s |    471.3 MB/s |    137.94 us |   220.00 us |   317.00 us |  4.1 |   96.0 |
| 131072B |      4.68 Kmsg/s |    614.0 MB/s |    212.09 us |   305.00 us |   368.00 us |  4.4 |   94.4 |
| 262144B |      3.06 Kmsg/s |    801.9 MB/s |    325.13 us |   449.00 us |   510.00 us |  4.6 |   91.6 |

### Transport: inproc
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
