## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
| 64B |      4.18 Kmsg/s |      0.3 MB/s |    594.00 us |  0.0 |    6.6 |
| 256B |      4.19 Kmsg/s |      1.1 MB/s |    599.50 us |  0.0 |    6.6 |
| 1024B |      4.22 Kmsg/s |      4.3 MB/s |    596.00 us |  0.0 |    6.6 |
| 65536B |      3.86 Kmsg/s |    252.8 MB/s |    604.50 us |  0.0 |    6.6 |
| 131072B |      3.70 Kmsg/s |    484.6 MB/s |    660.50 us |  0.0 |    6.6 |
| 262144B |      3.37 Kmsg/s |    882.4 MB/s |    618.50 us |  0.0 |    8.5 |

## PATTERN: GATEWAY (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |     52.72 Kmsg/s |      3.4 MB/s |    123.00 us |  0.0 |    6.6 |
| 256B |     37.21 Kmsg/s |      9.5 MB/s |    110.00 us |  0.0 |    6.7 |
| 1024B |     27.49 Kmsg/s |     28.2 MB/s |    117.00 us |  0.0 |    6.7 |
| 65536B |     10.52 Kmsg/s |    689.6 MB/s |     58.00 us |  0.0 |    7.0 |
| 131072B |      8.75 Kmsg/s |   1147.5 MB/s |    187.00 us |  0.0 |    7.0 |
| 262144B |      4.73 Kmsg/s |   1239.8 MB/s |    439.00 us |  0.0 |    7.1 |

## PATTERN: SPOT (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency | CPU% | Mem MB |
|----------|------------------|-----------|--------------|------|--------|
| 64B |      4.04 Kmsg/s |      0.3 MB/s |   1178.00 us |  0.0 |    6.6 |
| 256B |      3.68 Kmsg/s |      0.9 MB/s |   1183.00 us |  0.0 |    6.7 |
| 1024B |      3.95 Kmsg/s |      4.0 MB/s |   1118.00 us |  0.0 |    6.6 |
| 65536B |      3.63 Kmsg/s |    238.0 MB/s |   1124.00 us |  0.0 |    6.9 |
| 131072B |      3.56 Kmsg/s |    466.9 MB/s |   1278.00 us |  0.0 |    6.6 |
| 262144B |      2.02 Kmsg/s |    529.3 MB/s |   1259.00 us |  0.0 |    7.0 |
