stack,size,repeat,attempt,ccu,duration,inflight,client_rc,throughput_msg_s,throughput_mib_s,p50_us,p95_us,p99_us,pass_fail,port,client_log,server_log
zlink,1024,1,1,10000,5,1,0,144452.40,282.13,37226.92,57853.65,347806.24,PASS,21185,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath_streamengine/logs/zlink_s1024_r1_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath_streamengine/logs/zlink_s1024_r1_a1_server.log
zlink,1024,2,1,10000,5,1,0,88022.40,171.92,41979.76,153193.87,2894244.28,PASS,21187,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath_streamengine/logs/zlink_s1024_r2_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath_streamengine/logs/zlink_s1024_r2_a1_server.log
zlink,1024,3,1,10000,5,1,0,95221.00,185.98,51346.97,97392.10,2725915.61,PASS,21189,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath_streamengine/logs/zlink_s1024_r3_a1_client.log,doc/plan/baseline/20260217_cmp_zlink_s1024_after_fastpath_streamengine/logs/zlink_s1024_r3_a1_server.log
