## PATTERN: MULTI_PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     78.25 Kmsg/s |      5.0 MB/s | 4331512.39 us | 6323572.25 us | 6451317.01 us |   10.7 |     30.1 |   13.7 |     22.2 |
| 256B |     85.26 Kmsg/s |     21.8 MB/s | 5756028.96 us | 7333172.80 us | 7488969.01 us |   11.2 |     28.0 |   11.0 |     22.2 |
| 1024B |     16.32 Kmsg/s |     16.7 MB/s | 4925967.68 us | 7322174.05 us | 7486308.40 us |   11.1 |     26.8 |   11.5 |     22.2 |
| 65536B |      5.76 Kmsg/s |    377.5 MB/s | 4606941.37 us | 7706879.80 us | 8654880.99 us |   10.0 |     30.6 |   11.0 |     18.3 |
| 131072B |      5.49 Kmsg/s |    720.0 MB/s | 4834642.19 us | 7630454.60 us | 8505246.66 us |    9.2 |     29.8 |   11.8 |     17.0 |
| 262144B |      3.26 Kmsg/s |    855.1 MB/s | 5204902.78 us | 7568722.75 us | 8791139.40 us |    9.7 |     30.6 |   11.6 |     20.9 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      1.80 Kmsg/s |      0.1 MB/s | 3674844.79 us | 6385304.05 us | 6794710.14 us |    9.1 |     35.6 |   13.8 |     22.2 |
| 256B |      3.35 Kmsg/s |      0.9 MB/s | 4370119.09 us | 7065994.60 us | 7441712.84 us |   10.0 |     36.9 |   13.3 |     22.2 |
| 1024B |      3.22 Kmsg/s |      3.3 MB/s | 4421480.18 us | 7161939.25 us | 7553496.95 us |    9.9 |     36.9 |   13.0 |     20.9 |
| 65536B |      1.75 Kmsg/s |    114.8 MB/s | 3502205.92 us | 6223928.15 us | 6585163.20 us |   10.4 |     35.6 |   13.2 |     19.6 |
| 131072B |      1.34 Kmsg/s |    175.8 MB/s | 3557045.07 us | 6226784.50 us | 6664176.10 us |   10.4 |     35.6 |   13.5 |     18.3 |
| 262144B |      1.29 Kmsg/s |    338.9 MB/s | 3550976.43 us | 6263085.55 us | 6699926.68 us |   10.9 |     35.6 |   13.8 |     19.6 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |    456.75 Kmsg/s |     29.2 MB/s | 5054056.93 us | 7447439.10 us | 7932012.44 us |   11.3 |     28.8 |   14.0 |     22.2 |
| 256B |    142.82 Kmsg/s |     36.6 MB/s | 3596892.30 us | 6224795.40 us | 6587966.04 us |   11.8 |     30.1 |   11.9 |     20.9 |
| 1024B |     52.68 Kmsg/s |     53.9 MB/s | 4611384.15 us | 7031974.65 us | 7334615.39 us |   12.2 |     28.8 |   10.7 |     22.2 |
| 65536B |      4.37 Kmsg/s |    286.4 MB/s | 4163157.99 us | 5596534.15 us | 6013836.01 us |   10.6 |     31.1 |   10.0 |     19.6 |
| 131072B |      5.84 Kmsg/s |    765.3 MB/s | 4706324.31 us | 6738789.15 us | 8057167.30 us |   10.0 |     30.6 |   11.5 |     18.3 |
| 262144B |      3.24 Kmsg/s |    850.4 MB/s | 4065814.73 us | 5837698.80 us | 6346069.36 us |   10.8 |     29.3 |   12.2 |     19.6 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      3.12 Kmsg/s |      0.2 MB/s | 4045192.93 us | 6869008.50 us | 7419195.70 us |   10.0 |     36.4 |   13.7 |     22.2 |
| 256B |    226.43 Kmsg/s |     58.0 MB/s | 4767141.64 us | 7414657.20 us | 8348837.42 us |   11.8 |     33.0 |   13.2 |     22.2 |
| 1024B |    126.77 Kmsg/s |    129.8 MB/s | 4775378.96 us | 6862336.60 us | 7563405.77 us |   11.9 |     33.0 |   12.9 |     20.9 |
| 65536B |      2.62 Kmsg/s |    171.8 MB/s | 3530524.73 us | 6072755.10 us | 7195024.88 us |   10.0 |     36.9 |   13.3 |     19.6 |
| 131072B |      2.48 Kmsg/s |    325.6 MB/s | 3562954.37 us | 5869187.20 us | 7122649.08 us |   10.6 |     35.6 |   13.7 |     18.3 |
| 262144B |      1.07 Kmsg/s |    279.7 MB/s | 3823443.79 us | 7059118.40 us | 8126811.16 us |    9.5 |     36.9 |   13.9 |     19.6 |
