## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   3263.91 Kmsg/s |    208.9 MB/s |  99533.67 us | 190498.30 us | 217692.06 us |    8.9 |    187.1 |    8.6 |    283.9 |
| 256B |   1586.17 Kmsg/s |    406.1 MB/s | 366439.70 us | 576053.10 us | 601823.01 us |    5.1 |    351.5 |    5.8 |    531.1 |
| 1024B |   1289.17 Kmsg/s |   1320.1 MB/s | 320181.04 us | 481365.05 us | 501197.03 us |    8.1 |    655.8 |    8.3 |    547.1 |
| 65536B |     49.12 Kmsg/s |   3219.2 MB/s | 1295701.94 us | 1491295.00 us | 1511088.01 us |    8.7 |   6218.7 |    8.8 |    819.1 |
| 131072B |     36.76 Kmsg/s |   4817.8 MB/s | 828279.62 us | 1626164.20 us | 1646234.07 us |    9.3 |   6572.9 |    9.5 |    780.1 |
| 262144B |     22.55 Kmsg/s |   5910.6 MB/s | 596712.26 us | 885272.10 us | 909759.02 us |    9.3 |   5775.0 |   10.2 |    643.4 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   4494.95 Kmsg/s |    287.7 MB/s |     86.04 us |   177.00 us |   328.00 us |    9.2 |     87.3 |   11.0 |    395.1 |
| 256B |   2174.02 Kmsg/s |    556.5 MB/s | 271426.85 us | 314586.00 us | 318380.00 us |    6.7 |    382.0 |    8.9 |    531.1 |
| 1024B |    800.36 Kmsg/s |    819.6 MB/s | 765403.64 us | 1135385.10 us | 1247461.13 us |    6.4 |   1047.3 |    9.6 |    899.2 |
| 65536B |     21.89 Kmsg/s |   1434.4 MB/s | 2204464.64 us | 3386799.15 us | 3415634.06 us |   10.6 |   6274.5 |   11.2 |    475.2 |
| 131072B |      8.59 Kmsg/s |   1126.0 MB/s | 2841296.13 us | 3547574.80 us | 3603272.44 us |    9.2 |   6404.8 |   10.3 |     43.2 |
| 262144B |      7.75 Kmsg/s |   2032.8 MB/s | 1884796.11 us | 3003283.20 us | 3074087.96 us |   10.2 |   6875.9 |   11.1 |    627.4 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   4462.17 Kmsg/s |    285.6 MB/s |    173.28 us |   397.00 us |  3533.02 us |    9.1 |     84.7 |   10.5 |    843.1 |
| 256B |   2211.31 Kmsg/s |    566.1 MB/s | 267732.25 us | 329116.10 us | 336201.00 us |    6.8 |    356.8 |    8.9 |    123.1 |
| 1024B |   1103.22 Kmsg/s |   1129.7 MB/s | 549206.01 us | 665606.20 us | 684794.29 us |    6.7 |   1032.7 |   10.3 |     91.9 |
| 65536B |     49.68 Kmsg/s |   3255.7 MB/s | 1339722.59 us | 1741352.60 us | 1776144.05 us |    9.2 |   7010.6 |    9.9 |    611.2 |
| 131072B |     29.16 Kmsg/s |   3821.5 MB/s | 1146670.08 us | 1670049.20 us | 1738934.23 us |    9.2 |   6908.6 |   10.5 |    219.3 |
| 262144B |     14.67 Kmsg/s |   3846.7 MB/s | 1066620.42 us | 1419390.55 us | 1459922.24 us |    9.3 |   6062.9 |   10.0 |    451.4 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   4514.96 Kmsg/s |    289.0 MB/s |    433.78 us |  1748.00 us |  7383.03 us |    9.2 |     93.7 |   10.9 |    739.1 |
| 256B |   1953.09 Kmsg/s |    500.0 MB/s | 320016.60 us | 399267.00 us | 414615.05 us |    6.5 |    389.5 |   10.1 |    851.2 |
| 1024B |    585.69 Kmsg/s |    599.7 MB/s | 997545.23 us | 1244230.35 us | 1321543.64 us |    6.0 |   1112.5 |   10.6 |    443.1 |
| 65536B |      8.46 Kmsg/s |    554.6 MB/s | 3809769.07 us | 4252965.50 us | 4293662.70 us |    9.2 |   9960.7 |    9.7 |    571.2 |
| 131072B |      3.48 Kmsg/s |    456.6 MB/s | 4108450.06 us | 4484475.50 us | 4508320.10 us |    9.3 |   8451.8 |    9.6 |     91.2 |
| 262144B |      1.70 Kmsg/s |    444.5 MB/s | 3580261.63 us | 4380572.65 us | 4440598.94 us |    9.3 |   5087.2 |    9.9 |    203.4 |
