## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   4556.93 Kmsg/s |    291.6 MB/s |     54.66 us |   116.00 us |   238.00 us |    9.2 |     83.4 |   10.2 |    427.2 |
| 256B |   2336.66 Kmsg/s |    598.2 MB/s | 246464.92 us | 280807.05 us | 287063.01 us |    6.8 |    338.0 |    8.1 |    619.2 |
| 1024B |   1201.01 Kmsg/s |   1229.8 MB/s | 477860.58 us | 567689.00 us | 576363.00 us |    6.7 |    976.9 |    9.1 |    811.1 |
| 65536B |     70.00 Kmsg/s |   4587.3 MB/s | 1017864.32 us | 1414721.10 us | 1436664.04 us |    9.3 |   6036.1 |    9.8 |     91.2 |
| 131072B |     41.46 Kmsg/s |   5434.3 MB/s | 807155.28 us | 1140311.05 us | 1165139.02 us |    9.3 |   6680.5 |    9.9 |    148.0 |
| 262144B |     22.39 Kmsg/s |   5870.7 MB/s | 555908.04 us | 887067.70 us | 918125.03 us |    9.3 |   5327.2 |    9.7 |    443.4 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   3982.91 Kmsg/s |    254.9 MB/s |     78.00 us |   147.00 us |  1243.01 us |   13.1 |     86.5 |   12.1 |    531.2 |
| 256B |   2241.35 Kmsg/s |    573.8 MB/s | 261732.47 us | 305694.00 us | 318988.01 us |    6.7 |    360.4 |    9.0 |     59.2 |
| 1024B |   1004.00 Kmsg/s |   1028.1 MB/s | 599729.69 us | 744377.00 us | 764564.14 us |    6.5 |    982.9 |   10.0 |    323.2 |
| 65536B |     20.69 Kmsg/s |   1355.9 MB/s | 2475495.74 us | 3061006.90 us | 3109439.37 us |    9.2 |   6053.9 |   10.3 |    323.2 |
| 131072B |      9.77 Kmsg/s |   1280.9 MB/s | 2777774.40 us | 3455554.00 us | 3511048.02 us |    9.3 |   6878.9 |   10.3 |    627.2 |
| 262144B |      6.21 Kmsg/s |   1628.4 MB/s | 2423803.30 us | 3082842.65 us | 3137462.22 us |    9.3 |   7005.6 |   10.5 |    291.4 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   4512.58 Kmsg/s |    288.8 MB/s |     68.47 us |   129.00 us |   413.02 us |    9.2 |     84.0 |   10.5 |    451.1 |
| 256B |   2297.70 Kmsg/s |    588.2 MB/s | 253214.18 us | 289553.00 us | 297403.01 us |    6.8 |    353.2 |    8.7 |    187.2 |
| 1024B |   1113.30 Kmsg/s |   1140.0 MB/s | 529774.69 us | 644570.10 us | 657170.01 us |    6.7 |    978.0 |    9.6 |    355.1 |
| 65536B |     53.87 Kmsg/s |   3530.5 MB/s | 1275595.18 us | 1724592.15 us | 1759107.07 us |    9.2 |   6939.5 |    9.8 |    667.2 |
| 131072B |     30.20 Kmsg/s |   3957.9 MB/s | 1250958.35 us | 1746216.10 us | 1782583.20 us |    9.3 |   6388.4 |    9.9 |    259.2 |
| 262144B |     16.52 Kmsg/s |   4331.7 MB/s | 1053248.15 us | 1513857.10 us | 1551821.00 us |    9.3 |   6910.8 |    9.5 |    539.4 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   4088.36 Kmsg/s |    261.7 MB/s |    116.32 us |   362.00 us |   800.01 us |    9.2 |     88.4 |   10.7 |     83.1 |
| 256B |   2028.42 Kmsg/s |    519.3 MB/s | 302358.42 us | 360510.35 us | 374234.00 us |    6.6 |    378.9 |   10.1 |    411.9 |
| 1024B |    664.07 Kmsg/s |    680.0 MB/s | 918927.81 us | 1182407.00 us | 1212309.01 us |    6.0 |   1049.3 |   10.5 |    187.2 |
| 65536B |     10.93 Kmsg/s |    716.5 MB/s | 3391211.88 us | 3868264.75 us | 3909075.40 us |    9.2 |   5789.7 |    9.8 |    435.2 |
| 131072B |      6.19 Kmsg/s |    811.6 MB/s | 3348245.91 us | 3920301.40 us | 3974581.88 us |    9.3 |   6738.8 |    9.9 |    659.3 |
| 262144B |      4.16 Kmsg/s |   1089.7 MB/s | 2925103.71 us | 3648789.80 us | 3702238.00 us |    9.3 |   6738.0 |   10.1 |    811.4 |
