## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
| 64B |      0.75 Kops/s |      0.1 MB/s |   1329.34 us |  2309.00 us |  2388.99 us |    0.7 |     28.6 |    0.7 |     28.6 |
| 256B |      0.77 Kops/s |      0.4 MB/s |   1299.21 us |  2279.00 us |  2325.00 us |    0.7 |     28.6 |    0.6 |     28.6 |
| 1024B |      0.77 Kops/s |      1.6 MB/s |   1296.10 us |  2276.00 us |  2336.34 us |    0.7 |     28.6 |    0.7 |     28.6 |
| 65536B |      0.70 Kops/s |     91.9 MB/s |   1421.77 us |  2349.00 us |  2445.45 us |    1.0 |     28.6 |    1.0 |     27.3 |
| 131072B |      0.69 Kops/s |    180.2 MB/s |   1450.10 us |  2358.00 us |  2425.20 us |    1.2 |     28.6 |    1.1 |     27.3 |
| 262144B |      0.61 Kops/s |    317.6 MB/s |   1646.49 us |  2426.60 us |  2581.06 us |    1.5 |     27.3 |    1.4 |     27.3 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.76 Kops/s |      0.1 MB/s |   1304.16 us |  2286.00 us |  2386.82 us |    0.7 |     28.6 |    0.7 |     27.3 |
| 256B |      0.78 Kops/s |      0.4 MB/s |   1279.91 us |  2279.00 us |  2338.42 us |    0.6 |     28.6 |    0.6 |     27.3 |
| 1024B |      0.80 Kops/s |      1.6 MB/s |   1246.21 us |  2271.00 us |  2313.00 us |    0.7 |     28.6 |    0.6 |     27.3 |
| 65536B |      0.71 Kops/s |     93.3 MB/s |   1398.12 us |  2374.00 us |  2485.41 us |    0.9 |     27.3 |    0.8 |     27.3 |
| 131072B |      0.72 Kops/s |    189.6 MB/s |   1378.90 us |  2341.00 us |  2449.00 us |    1.0 |     28.6 |    0.9 |     28.6 |
| 262144B |      0.68 Kops/s |    357.8 MB/s |   1461.64 us |  2388.00 us |  2491.78 us |    1.1 |     28.6 |    1.1 |     27.3 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.76 Kops/s |      0.1 MB/s |   1319.34 us |  2321.00 us |  2443.84 us |    0.7 |     28.6 |    0.7 |     28.6 |
| 256B |      0.77 Kops/s |      0.4 MB/s |   1295.15 us |  2290.80 us |  2394.00 us |    0.7 |     29.8 |    0.7 |     27.3 |
| 1024B |      0.79 Kops/s |      1.6 MB/s |   1258.40 us |  2269.15 us |  2332.06 us |    0.7 |     29.8 |    0.7 |     28.6 |
| 65536B |      0.70 Kops/s |     91.1 MB/s |   1432.98 us |  2343.00 us |  2468.46 us |    1.1 |     28.6 |    1.0 |     27.3 |
| 131072B |      0.69 Kops/s |    180.6 MB/s |   1447.19 us |  2350.00 us |  2429.12 us |    1.3 |     28.6 |    1.2 |     27.3 |
| 262144B |      0.63 Kops/s |    330.9 MB/s |   1581.00 us |  2389.00 us |  2508.00 us |    1.6 |     28.6 |    1.5 |     27.3 |

===============================================================================

## PATTERN: MULTI_ROUTER_ROUTER (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
