## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
| 65536B |     81.21 Kmsg/s |   5322.2 MB/s |  33163.86 us | 38014.00 us | 70247.05 us |    7.2 |    102.4 |   10.0 |     20.9 |
| 131072B |     46.67 Kmsg/s |   6117.7 MB/s |  31730.40 us | 35773.05 us | 72938.04 us |    7.4 |     18.7 |   10.1 |     20.9 |
| 262144B |     21.91 Kmsg/s |   5743.2 MB/s |  35991.54 us | 44183.05 us | 70950.02 us |    7.4 |     26.6 |    9.3 |     21.1 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     47.66 Kmsg/s |      3.0 MB/s | 2437467.66 us | 3860875.60 us | 4666103.08 us |   11.0 |    227.2 |    8.6 |     22.2 |
| 256B |    394.11 Kmsg/s |    100.9 MB/s | 2119428.14 us | 2710640.00 us | 2985575.89 us |   13.0 |    667.3 |    8.4 |     22.2 |
| 1024B |    595.25 Kmsg/s |    609.5 MB/s | 1268768.57 us | 1390826.65 us | 1411503.09 us |   14.1 |    843.2 |   10.8 |     22.2 |
| 65536B |     28.53 Kmsg/s |   1869.7 MB/s |  83871.99 us | 104525.00 us | 114760.04 us |   10.1 |     60.2 |   11.8 |     20.9 |
| 131072B |     14.82 Kmsg/s |   1942.4 MB/s |  86771.89 us | 109346.00 us | 115163.74 us |   10.7 |     13.3 |   10.8 |     20.9 |
| 262144B |      7.64 Kmsg/s |   2001.8 MB/s |  85620.48 us | 108825.30 us | 120021.56 us |   10.7 |     51.6 |    9.8 |     21.1 |

===============================================================================

## PATTERN: MULTI_STREAM (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     94.90 Kops/s |     12.1 MB/s |    105.30 us |   157.00 us |   269.00 us |    2.5 |     15.5 |    5.2 |     51.6 |
| 256B |     94.06 Kops/s |     48.2 MB/s |    106.24 us |   153.00 us |   233.00 us |    2.6 |     11.6 |    5.3 |     52.9 |
| 1024B |     88.73 Kops/s |    181.7 MB/s |    112.62 us |   164.00 us |   227.00 us |    2.7 |     11.7 |    5.4 |     51.6 |
| 65536B |     55.87 Kops/s |   7323.6 MB/s |    178.90 us |   268.00 us |   326.00 us |    4.7 |     14.4 |   10.4 |     51.6 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     98.62 Kops/s |     12.6 MB/s |    101.33 us |   152.00 us |   277.00 us |    3.3 |     17.3 |    6.4 |     52.9 |
| 256B |     95.16 Kops/s |     48.7 MB/s |    105.02 us |   152.00 us |   264.00 us |    3.3 |     17.3 |    6.5 |     52.9 |
| 1024B |     94.26 Kops/s |    193.0 MB/s |    106.02 us |   159.00 us |   266.00 us |    3.4 |     13.9 |    6.7 |     52.9 |
| 65536B |     20.27 Kops/s |   2657.2 MB/s |    493.18 us |   606.00 us |   716.00 us |    4.8 |     12.8 |    9.7 |     52.9 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |    117.43 Kops/s |     15.0 MB/s |     85.08 us |   122.00 us |   257.00 us |    3.1 |     14.5 |    6.6 |     52.9 |
| 256B |    116.70 Kops/s |     59.8 MB/s |     85.61 us |   131.00 us |   271.00 us |    3.1 |     13.6 |    6.6 |     52.9 |
| 1024B |    118.98 Kops/s |    243.7 MB/s |     83.97 us |   130.00 us |   250.00 us |    3.3 |     18.0 |    6.9 |     52.9 |
| 65536B |     11.36 Kops/s |   1489.0 MB/s |    880.22 us |  1084.00 us |  1195.00 us |    4.8 |     12.3 |   10.3 |     54.2 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |    121.33 Kops/s |     15.5 MB/s |     82.36 us |   134.00 us |   213.00 us |    3.8 |     19.8 |    7.7 |     51.6 |
| 256B |    120.59 Kops/s |     61.7 MB/s |     82.86 us |   140.00 us |   233.00 us |    3.8 |     19.5 |    7.7 |     52.9 |
| 1024B |    114.87 Kops/s |    235.3 MB/s |     86.98 us |   148.00 us |   226.00 us |    3.9 |     19.5 |    7.9 |     52.9 |
| 65536B |      8.06 Kops/s |   1057.0 MB/s |   1239.95 us |  1415.00 us |  1518.79 us |    4.8 |     13.4 |    9.8 |     52.9 |

===============================================================================

## PATTERN: MULTI_STREAM_CALLBACK (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |    112.78 Kops/s |     14.4 MB/s |     88.60 us |   119.00 us |   205.00 us |    2.6 |     13.8 |    5.1 |     52.9 |
| 256B |    109.65 Kops/s |     56.1 MB/s |     91.14 us |   133.00 us |   239.00 us |    2.6 |     13.1 |    5.2 |     52.9 |
| 1024B |    106.28 Kops/s |    217.7 MB/s |     94.02 us |   136.00 us |   252.00 us |    2.7 |     16.9 |    5.3 |     52.9 |
| 65536B |     63.30 Kops/s |   8297.0 MB/s |    157.92 us |   227.00 us |   333.00 us |    4.7 |     14.4 |   10.3 |     52.9 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     97.40 Kops/s |     12.5 MB/s |    102.60 us |   187.00 us |   294.00 us |    3.3 |     16.6 |    6.5 |     52.9 |
| 256B |     95.50 Kops/s |     48.9 MB/s |    104.64 us |   185.00 us |   247.00 us |    3.5 |     17.3 |    7.0 |     52.9 |
| 1024B |    101.48 Kops/s |    207.8 MB/s |     98.48 us |   174.00 us |   233.00 us |    3.6 |     17.7 |    7.3 |     50.3 |
| 65536B |     18.62 Kops/s |   2441.1 MB/s |    536.92 us |   746.00 us |   865.00 us |    4.8 |     12.7 |    9.6 |     50.3 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |    118.74 Kops/s |     15.2 MB/s |     84.15 us |   142.00 us |   229.00 us |    3.2 |     18.0 |    6.8 |     51.6 |
| 256B |    119.94 Kops/s |     61.4 MB/s |     83.30 us |   133.00 us |   244.00 us |    3.3 |     18.3 |    7.1 |     51.6 |
| 1024B |    119.17 Kops/s |    244.1 MB/s |     83.84 us |   148.00 us |   229.00 us |    3.5 |     18.4 |    7.2 |     51.6 |
| 65536B |      9.72 Kops/s |   1274.4 MB/s |   1028.42 us |  1468.00 us |  1698.00 us |    4.8 |     12.0 |   10.2 |     52.9 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |    104.51 Kops/s |     13.4 MB/s |     95.61 us |   168.00 us |   222.00 us |    3.8 |     14.9 |    8.0 |     51.6 |
| 256B |    105.03 Kops/s |     53.8 MB/s |     95.14 us |   171.00 us |   247.00 us |    3.8 |     18.4 |    8.0 |     51.6 |
| 1024B |    112.03 Kops/s |    229.4 MB/s |     89.19 us |   156.00 us |   219.00 us |    4.0 |     17.5 |    8.3 |     52.9 |
| 65536B |      7.44 Kops/s |    975.8 MB/s |   1343.15 us |  1850.00 us |  2421.50 us |    4.8 |     13.4 |   10.2 |     52.9 |

===============================================================================

## PATTERN: MULTI_STREAM_LEN32BE (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     89.88 Kops/s |     11.5 MB/s |    111.19 us |   165.00 us |   248.00 us |    2.7 |     15.3 |    5.4 |     52.9 |
| 256B |     98.77 Kops/s |     50.6 MB/s |    101.18 us |   152.00 us |   244.00 us |    2.7 |     12.3 |    5.4 |     51.6 |
| 1024B |     97.26 Kops/s |    199.2 MB/s |    102.75 us |   152.00 us |   218.11 us |    2.8 |     15.5 |    5.7 |     51.6 |
| 65536B |     52.52 Kops/s |   6884.1 MB/s |    190.32 us |   299.00 us |   382.00 us |    4.7 |     14.2 |   10.2 |     52.9 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     90.77 Kops/s |     11.6 MB/s |    110.09 us |   188.00 us |   244.00 us |    3.4 |     16.4 |    6.9 |     51.6 |
| 256B |     89.40 Kops/s |     45.8 MB/s |    111.78 us |   182.00 us |   223.00 us |    3.6 |     15.8 |    7.2 |     51.6 |
| 1024B |     92.92 Kops/s |    190.3 MB/s |    107.55 us |   194.00 us |   275.00 us |    3.6 |     16.7 |    7.1 |     51.6 |
| 65536B |     19.85 Kops/s |   2602.2 MB/s |    503.63 us |   614.00 us |   724.00 us |    4.8 |     12.7 |    9.7 |     51.6 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |    106.14 Kops/s |     13.6 MB/s |     94.14 us |   149.00 us |   269.00 us |    3.1 |     13.4 |    6.5 |     52.9 |
| 256B |    101.00 Kops/s |     51.7 MB/s |     98.92 us |   153.00 us |   202.00 us |    3.2 |     16.4 |    6.8 |     51.6 |
| 1024B |    111.75 Kops/s |    228.9 MB/s |     89.41 us |   147.00 us |   247.00 us |    3.3 |     16.9 |    7.0 |     52.9 |
| 65536B |     10.90 Kops/s |   1428.3 MB/s |    917.64 us |  1180.00 us |  1365.00 us |    4.8 |     12.0 |   10.4 |     54.2 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     92.51 Kops/s |     11.8 MB/s |    108.02 us |   180.00 us |   236.00 us |    3.6 |     17.2 |    7.7 |     52.9 |
| 256B |    108.14 Kops/s |     55.4 MB/s |     92.40 us |   163.00 us |   279.00 us |    3.8 |     18.8 |    7.8 |     51.6 |
| 1024B |     90.91 Kops/s |    186.2 MB/s |    109.93 us |   186.00 us |   261.00 us |    3.9 |     17.3 |    8.0 |     52.9 |
| 65536B |      7.67 Kops/s |   1005.8 MB/s |   1303.22 us |  1666.00 us |  2216.33 us |    4.8 |     13.3 |   10.1 |     52.9 |
