## PATTERN: MULTI_PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   8575.17 Kmsg/s |    548.8 MB/s | 4151629.43 us | 6875495.75 us | 7484030.70 us |    7.6 |     30.1 |    8.3 |     20.9 |
| 256B |   3182.03 Kmsg/s |    814.6 MB/s | 2938308.22 us | 3944181.35 us | 4281371.72 us |    7.2 |     27.3 |    6.6 |     19.6 |
| 1024B |    148.39 Kmsg/s |    152.0 MB/s | 1145421.59 us | 3860379.00 us | 4081333.00 us |    7.2 |     26.0 |    6.4 |     18.3 |
| 65536B |     69.07 Kmsg/s |   4526.5 MB/s | 781745.89 us | 1004028.15 us | 1032202.03 us |    6.7 |    579.2 |    7.4 |     19.6 |
| 131072B |     41.30 Kmsg/s |   5413.8 MB/s | 899801.80 us | 1242123.50 us | 1261290.07 us |    6.9 |    691.2 |    7.4 |     18.3 |
| 262144B |     23.27 Kmsg/s |   6099.3 MB/s | 756006.65 us | 1055405.25 us | 1083813.00 us |    7.0 |    380.1 |    7.5 |     19.6 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   6791.98 Kmsg/s |    434.7 MB/s | 4620444.55 us | 7637718.70 us | 8484501.42 us |    8.1 |     28.0 |    8.9 |     22.2 |
| 256B |   2698.28 Kmsg/s |    690.8 MB/s | 3757327.43 us | 5769964.25 us | 6344041.11 us |    8.2 |     28.8 |    7.8 |     19.6 |
| 1024B |    362.69 Kmsg/s |    371.4 MB/s | 3427215.44 us | 5083044.40 us | 5126198.14 us |    8.4 |     26.8 |    7.6 |     18.3 |
| 65536B |     27.78 Kmsg/s |   1820.9 MB/s | 1795656.48 us | 2245534.25 us | 2300125.43 us |    7.5 |    147.1 |    7.4 |     20.9 |
| 131072B |     13.42 Kmsg/s |   1758.4 MB/s | 2317965.24 us | 2848409.80 us | 2899986.24 us |    7.6 |    635.2 |    7.5 |     20.9 |
| 262144B |      7.41 Kmsg/s |   1942.2 MB/s | 2164766.29 us | 2734011.00 us | 2781965.98 us |    7.5 |    843.4 |    7.4 |     20.9 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   5123.66 Kmsg/s |    327.9 MB/s | 3576563.03 us | 5384018.20 us | 6095932.00 us |    7.8 |     29.8 |    7.3 |     19.6 |
| 256B |   3154.45 Kmsg/s |    807.5 MB/s | 2515170.78 us | 3079808.55 us | 3256211.46 us |    7.8 |    195.1 |    6.4 |     19.6 |
| 1024B |   1761.69 Kmsg/s |   1804.0 MB/s | 479204.86 us | 605806.40 us | 622705.03 us |    7.8 |    171.8 |    6.3 |     22.2 |
| 65536B |     66.11 Kmsg/s |   4332.3 MB/s | 815720.93 us | 1048333.10 us | 1073143.01 us |    7.2 |    675.2 |    7.4 |     18.3 |
| 131072B |     37.12 Kmsg/s |   4866.0 MB/s | 961609.23 us | 1332563.15 us | 1366184.01 us |    7.0 |    771.2 |    7.4 |     18.3 |
| 262144B |     21.86 Kmsg/s |   5729.7 MB/s | 833234.99 us | 1168695.15 us | 1197687.17 us |    7.1 |    595.3 |    7.5 |     18.3 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   2743.21 Kmsg/s |    175.6 MB/s | 3943247.44 us | 5964983.40 us | 6305297.05 us |    8.3 |    146.4 |    8.2 |     19.6 |
| 256B |   1723.55 Kmsg/s |    441.2 MB/s | 3346448.00 us | 6638189.75 us | 7032897.10 us |    9.2 |     28.0 |    8.0 |     22.2 |
| 1024B |   1052.81 Kmsg/s |   1078.1 MB/s | 783589.46 us | 1008890.30 us | 1038937.06 us |    7.8 |     59.1 |    7.1 |     23.4 |
| 65536B |     15.55 Kmsg/s |   1019.1 MB/s | 2451463.45 us | 2982035.50 us | 3031714.50 us |    7.5 |     67.2 |    7.4 |     22.2 |
| 131072B |      9.28 Kmsg/s |   1216.1 MB/s | 2858654.86 us | 3430904.20 us | 3478765.98 us |    7.6 |    243.2 |    7.4 |     20.9 |
| 262144B |      5.77 Kmsg/s |   1512.8 MB/s | 2516459.66 us | 3090639.10 us | 3138916.30 us |    7.6 |     91.4 |    7.5 |     20.9 |
