## PATTERN: MULTI_PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    7.0 |     22.9 |    7.1 |     20.9 |
| 256B |     18.58 Kmsg/s |      4.8 MB/s | 4852022.12 us | 5303676.95 us | 5318805.89 us |    8.7 |     22.9 |    8.1 |     22.2 |
| 1024B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   10.1 |     20.9 |    7.6 |     20.9 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.7 |     21.6 |   11.8 |     18.3 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.6 |     20.9 |   12.3 |     19.6 |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.7 |     20.9 |   11.9 |     19.6 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    7.4 |     24.2 |    8.4 |     20.9 |
| 256B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    9.9 |     21.6 |    9.5 |     22.2 |
| 1024B |      2.41 Kmsg/s |      2.5 MB/s | 5295099.79 us | 5317993.85 us | 5319598.59 us |   11.9 |     23.4 |   11.2 |     22.2 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   11.3 |     26.8 |   11.7 |     19.6 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   11.2 |     26.8 |   11.2 |     19.6 |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   10.8 |     27.3 |   11.0 |     18.3 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    7.4 |     21.6 |    7.3 |     23.4 |
| 256B |    205.41 Kmsg/s |     52.6 MB/s | 4854416.25 us | 5338503.25 us | 5373466.19 us |   10.0 |     24.2 |    7.6 |     20.9 |
| 1024B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   11.6 |     22.9 |    8.5 |     22.2 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.3 |     22.2 |   11.1 |     18.3 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.5 |     22.2 |   12.6 |     18.3 |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   13.8 |     20.4 |   12.7 |     18.3 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    8.3 |     25.5 |    8.9 |     23.4 |
| 256B |    127.55 Kmsg/s |     32.7 MB/s | 5173743.07 us | 5366861.20 us | 5378809.01 us |   11.7 |     26.2 |   10.5 |     20.9 |
| 1024B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   12.2 |     23.4 |   11.1 |     23.4 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   11.5 |     26.8 |   12.7 |     19.6 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   11.4 |     26.8 |   11.8 |     18.3 |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   11.3 |     26.0 |   11.8 |     19.6 |
